site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
FLOP,FLOP0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
FLPJ,FLPJ0xUSA,USA,NA,99.793,2658000,5520,16620,outage-no-cellular,2658000,5520,0,0,
FLPL,FLPL0xUSA,USA,NA,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,3800
FLSS,FLSS0xUSA,USA,NA,99.622,2653440,10080,16620,outage-no-cellular,2653440,10080,0,0,
GACA,GACA0xUSA,USA,NA,99.696,2655420,8100,16620,brief-failover,2655420,8100,45612,4,26518
GACB,GACB0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
GADE,GADE0xUSA,USA,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
GAMR,GAMR0xUSA,USA,NA,99.955,2662320,1200,16620,outage-no-cellular,2662320,1200,0,0,
GASV,GASV0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
IABE,IABE0xUSA,USA,NA,99.815,2658600,4920,16620,outage-no-cellular,2658600,4920,0,0,
IACE,IACE0xUSA,USA,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
IADU,IADU0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
IAFD,IAFD0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
IAFM,IAFM0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
IAGM,IAGM0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
IAHL,IAHL0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
IDBU,IDBU0xUSA,USA,NA,65.257,1738140,925380,16620,stable,1738140,925380,0,0,
IDCL,IDCL0xUSA,USA,NA,77.773,2071500,592020,16620,stable,2071500,592020,0,0,
IDNP,IDNP0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
IDPO,IDPO0xUSA,USA,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
IDRY,IDRY0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
ILAS,ILAS0xUSA,USA,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
ILCY,ILCY0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
ILRO,ILRO0xUSA,USA,NA,99.766,2657280,6240,16620,outage-no-cellular,2657280,6240,0,0,
ILSL,ILSL0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
ILTV,ILTV0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
INFN,INFN0xUSA,USA,NA,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,13932
