site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
ATFS,ATFS0xAUT,AUT,EU,99.977,2577660,600,15420
ATGD,ATGD0xAUT,AUT,EU,99.977,2577660,600,15420
ATHB,ATHB0xAUT,AUT,EU,100.000,2578260,0,15420
ATHL,ATHL0xAUT,AUT,EU,99.977,2577660,600,15420
ATJB,ATJB0xAUT,AUT,EU,99.977,2577660,600,15420
ATKA,ATKA0xAUT,AUT,EU,100.000,2578260,0,15420
BGBL,BGBL0xBGR,BGR,EU,99.379,2562240,16020,15420
BGBO,BGBO0xBGR,BGR,EU,99.977,2577660,600,15420
BGLO,BGLO0xBGR,BGR,EU,100.000,2578260,0,15420
BGPV,BGPV0xBGR,BGR,EU,100.000,2578260,0,15420
BGVI,BGVI0xBGR,BGR,EU,100.000,2578260,0,15420
BGVN,BGVN0xBGR,BGR,EU,100.000,2578260,0,15420
CZOL,CZOL0xCZE,CZE,EU,99.974,2577600,660,15420
CZPA,CZPA0xCZE,CZE,EU,100.000,2578260,0,15420
DNAB,DNAB0xDNK,DNK,EU,99.974,2577600,660,15420
DNBR,DNBR0xDNK,DNK,EU,99.974,2577600,660,15420
DNHS,DNHS0xDNK,DNK,EU,100.000,2578260,0,15420
DNSO,DNSO0xDNK,DNK,EU,100.000,2578260,0,15420
DTBA,DTBA0xDEU,DEU,EU,100.000,2578260,0,15420
DTBN,DTBN0xDEU,DEU,EU,100.000,2578260,0,15420
DTBR,DTBR0xDEU,DEU,EU,100.000,2578260,0,15420
DTD2,DTD20xDEU,DEU,EU,0.000,0,2578260,15420
DTDD,DTDD0xDEU,DEU,EU,99.977,2577660,600,15420
DTDT,DTDT0xDEU,DEU,EU,100.000,2578260,0,15420
DTFB,DTFB0xDEU,DEU,EU,100.000,2578260,0,15420
DTGB,DTGB0xDEU,DEU,EU,100.000,2578260,0,15420
DTHL,DTHL0xDEU,DEU,EU,100.000,2578260,0,15420
DTHR,DTHR0xDEU,DEU,EU,99.974,2577600,660,15420
DTHT,DTHT0xDEU,DEU,EU,100.000,2578260,0,15420
DTIF,DTIF0xDEU,DEU,EU,100.000,2578260,0,15420
DTKM,DTKM0xDEU,DEU,EU,100.000,2578260,0,15420
DTMB,DTMB0xDEU,DEU,EU,100.000,2578260,0,15420
DTMH,DTMH0xDEU,DEU,EU,100.000,2578260,0,15420
DTND,DTND0xDEU,DEU,EU,100.000,2578260,0,15420
DTOB,DTOB0xDEU,DEU,EU,100.000,2578260,0,15420
DTOS,DTOS0xDEU,DEU,EU,99.977,2577660,600,15420
DTPW,DTPW0xDEU,DEU,EU,100.000,2578260,0,15420
DTSW,DTSW0xDEU,DEU,EU,100.000,2578260,0,15420
