site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ESTA,ESTA0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ESVA,ESVA0xESP,ESP,EU,78.001,67440,19020,0,flapping,67440,19020,8580,11,164
ESVI,ESVI0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
ESZA,ESZA0xESP,ESP,EU,100.000,86460,0,0,brief-failover,86460,0,14160,1,236
FIEK,FIEK0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIHA,FIHA0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIII,FIII0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIIV,FIIV0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIJM,FIJM0xFIN,FIN,EU,0.000,0,86460,0,offline-entire-window,0,86460,0,0,
FIJO,FIJO0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIKL,FIKL0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIKM,FIKM0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FILA,FILA0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FILV,FILV0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIMU,FIMU0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FINA,FINA0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FISU,FISU0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FITA,FITA0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FIUU,FIUU0xFIN,FIN,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRAC,FRAC0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRAR,FRAR0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRBD,FRBD0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRBE,FRBE0xFRA,FRA,EU,55.239,47760,38700,0,outage-no-cellular,47760,38700,0,0,
FRBY,FRBY0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRCB,FRCB0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRCH,FRCH0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRCO,FRCO0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRDI,FRDI0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRDL,FRDL0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRDU,FRDU0xFRA,FRA,EU,100.000,86460,0,0,outage-no-cellular,86460,0,0,0,
FRGE,FRGE0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRHR,FRHR0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRHV,FRHV0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRLA,FRLA0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRLM,FRLM0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRLO,FRLO0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRMC,FRMC0xFRA,FRA,EU,100.000,86460,0,0,outage-no-cellular,86460,0,0,0,
FRMG,FRMG0xFRA,FRA,EU,0.000,0,86460,0,offline-entire-window,0,86460,0,0,
FRMO,FRMO0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRNA,FRNA0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRNI,FRNI0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRPE,FRPE0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRPT,FRPT0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRRF,FRRF0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRRO,FRRO0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRSG,FRSG0xFRA,FRA,EU,100.000,86460,0,0,stable,86460,0,0,0,
FRVA,FRVA0xFRA,FRA,EU,98.612,85260,1200,0,on-cellular-now,85260,1200,18780,4,21
GBCC,GBCC0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBCD,GBCD0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBCT,GBCT0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBDB,GBDB0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBGY,GBGY0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBKS,GBKS0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBLH,GBLH0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBLP,GBLP0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBNQ,GBNQ0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBOB,GBOB0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBPH,GBPH0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBSA,GBSA0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBSB,GBSB0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBTA,GBTA0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBUS,GBUS0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GBWH,GBWH0xGBR,GBR,EU,100.000,86460,0,0,stable,86460,0,0,0,
GRCH,GRCH0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
GRFO,GRFO0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
GRHK,GRHK0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
GRIG,GRIG0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
GRKE,GRKE0xGRC,GRC,EU,100.000,86460,0,0,brief-failover,86460,0,57600,4,938
GRKL,GRKL0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
GRKV,GRKV0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
GRLB,GRLB0xGRC,GRC,EU,100.000,86460,0,0,stable,86460,0,0,0,
GRNX,GRNX0xGRC,GRC,EU,100.000,86460,0,0,brief-failover,86460,0,28800,2,938
