site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ESML,ESML0xESP,ESP,EU,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,14958
ESMR,ESMR0xESP,ESP,EU,100.000,2663520,0,16620,brief-failover,2663520,0,43200,3,27857
ESMU,ESMU0xESP,ESP,EU,100.000,2663520,0,16620,brief-failover,2663520,0,43200,3,14958
ESMZ,ESMZ0xESP,ESP,EU,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,15182
ESNM,ESNM0xESP,ESP,EU,99.953,2662260,1260,16620,flapping,2662260,1260,41396,7,4737
ESOV,ESOV0xESP,ESP,EU,100.000,2663520,0,16620,brief-failover,2663520,0,57600,4,25001
ESSC,ESSC0xESP,ESP,EU,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,35891
ESSE,ESSE0xESP,ESP,EU,99.977,2662920,600,16620,flapping,2662920,600,88812,7,12637
ESTA,ESTA0xESP,ESP,EU,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
ESVA,ESVA0xESP,ESP,EU,92.717,2469540,193980,16620,flapping,2469540,193980,615228,192,5853
ESVI,ESVI0xESP,ESP,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,72000,5,6166
ESZA,ESZA0xESP,ESP,EU,100.000,2663520,0,16620,brief-failover,2663520,0,57600,4,2997
FIEK,FIEK0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,231,3175
FIHA,FIHA0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,845,5228
FIII,FIII0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,518400,40,28170
FIIV,FIIV0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,1348,5273
FIJM,FIJM0xFIN,FIN,EU,0.000,0,2663520,16620,offline-entire-window,0,2663520,0,0,
FIJO,FIJO0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2044800,154,9647
FIKL,FIKL0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,260,5809
FIKM,FIKM0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,312,5184
FILA,FILA0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,541,5496
FILV,FILV0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,251,6657
FIMU,FIMU0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,711,5585
FINA,FINA0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,229,3889
FISU,FISU0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,421,5719
FITA,FITA0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,426,3532
FIUU,FIUU0xFIN,FIN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,129600,10,39417
FRAC,FRAC0xFRA,FRA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
FRAR,FRAR0xFRA,FRA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
FRBD,FRBD0xFRA,FRA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
FRBE,FRBE0xFRA,FRA,EU,94.438,2515380,148140,16620,outage-no-cellular,2515380,148140,0,0,
FRBY,FRBY0xFRA,FRA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
FRCB,FRCB0xFRA,FRA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,25804
FRCH,FRCH0xFRA,FRA,EU,98.211,2615880,47640,16620,brief-failover,2615880,47640,14400,1,38748
FRCO,FRCO0xFRA,FRA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
FRDI,FRDI0xFRA,FRA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
FRDL,FRDL0xFRA,FRA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
FRDU,FRDU0xFRA,FRA,EU,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
FRGE,FRGE0xFRA,FRA,EU,99.953,2662260,1260,16620,stuck-degraded,2662260,1260,434844,56,6121
FRHR,FRHR0xFRA,FRA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,943
FRHV,FRHV0xFRA,FRA,EU,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
FRLA,FRLA0xFRA,FRA,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,273600,21,20136
FRLM,FRLM0xFRA,FRA,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
FRLO,FRLO0xFRA,FRA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
FRMC,FRMC0xFRA,FRA,EU,99.977,2662920,600,16620,brief-failover,2662920,600,14400,1,34374
FRMG,FRMG0xFRA,FRA,EU,82.814,2205780,457740,16620,outage-no-cellular,2205780,457740,0,0,
FRMO,FRMO0xFRA,FRA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
FRNA,FRNA0xFRA,FRA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,36963
FRNI,FRNI0xFRA,FRA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
FRPE,FRPE0xFRA,FRA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
FRPT,FRPT0xFRA,FRA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,2412,1,24019
FRRF,FRRF0xFRA,FRA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,37275
FRRO,FRRO0xFRA,FRA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
FRSG,FRSG0xFRA,FRA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,2640
FRVA,FRVA0xFRA,FRA,EU,99.736,2656500,7020,16620,stuck-degraded,2656500,7020,422248,48,5719
GBCC,GBCC0xGBR,GBR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
GBCD,GBCD0xGBR,GBR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,9513
GBCT,GBCT0xGBR,GBR,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
GBDB,GBDB0xGBR,GBR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,31383
GBGY,GBGY0xGBR,GBR,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,374400,29,12771
GBKS,GBKS0xGBR,GBR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
GBLH,GBLH0xGBR,GBR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
GBLP,GBLP0xGBR,GBR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
GBNQ,GBNQ0xGBR,GBR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
GBOB,GBOB0xGBR,GBR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
GBPH,GBPH0xGBR,GBR,EU,98.308,2618460,45060,16620,outage-no-cellular,2618460,45060,0,0,
GBSA,GBSA0xGBR,GBR,EU,99.977,2662920,600,16620,brief-failover,2662920,600,43200,3,3755
GBSB,GBSB0xGBR,GBR,EU,99.885,2660460,3060,16620,outage-no-cellular,2660460,3060,0,0,
GBTA,GBTA0xGBR,GBR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
GBUS,GBUS0xGBR,GBR,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
GBWH,GBWH0xGBR,GBR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,25135
GRCH,GRCH0xGRC,GRC,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,9468
GRFO,GRFO0xGRC,GRC,EU,99.977,2662920,600,16620,brief-failover,2662920,600,14400,1,10674
GRHK,GRHK0xGRC,GRC,EU,99.953,2662260,1260,16620,brief-failover,2662260,1260,14400,1,12370
GRIG,GRIG0xGRC,GRC,EU,99.977,2662920,600,16620,brief-failover,2662920,600,14400,1,38346
GRKE,GRKE0xGRC,GRC,EU,100.000,2663520,0,16620,brief-failover,2663520,0,57600,4,13887
GRKL,GRKL0xGRC,GRC,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
GRKV,GRKV0xGRC,GRC,EU,100.000,2663520,0,16620,brief-failover,2663520,0,43200,3,453
GRLB,GRLB0xGRC,GRC,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,187200,13,11298
GRNX,GRNX0xGRC,GRC,EU,99.977,2662920,600,16620,flapping,2662920,600,72000,5,11120
GROS,GROS0xGRC,GRC,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
GRPS,GRPS0xGRC,GRC,EU,99.766,2657280,6240,16620,outage-no-cellular,2657280,6240,0,0,
GRRO,GRRO0xGRC,GRC,EU,99.977,2662920,600,16620,brief-failover,2662920,600,28800,3,34642
GRSA,GRSA0xGRC,GRC,EU,99.975,2662860,660,16620,brief-failover,2662860,660,14400,1,23885
GRTA,GRTA0xGRC,GRC,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
GRVO,GRVO0xGRC,GRC,EU,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,13128
HRLA,HRLA0xHRV,HRV,EU,100.000,2663520,0,16620,brief-failover,2663520,0,32552,3,19511
HRPL,HRPL0xHRV,HRV,EU,56.488,1504560,1158960,16620,flapping,1504560,1158960,60548,5,363
HRSB,HRSB0xHRV,HRV,EU,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,12816
HRVV,HRVV0xHRV,HRV,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,35445
HUBU,HUBU0xHUN,HUN,EU,99.977,2662920,600,16620,stuck-degraded,2662920,600,2662920,444,5318
HUNY,HUNY0xHUN,HUN,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
HUSZ,HUSZ0xHUN,HUN,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,2663520,276,5764
HUVE,HUVE0xHUN,HUN,EU,99.977,2662920,600,16620,stuck-degraded,2662920,600,1771200,136,6032
IRBA,IRBA0xIRL,IRL,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,7371
IRCO,IRCO0xIRL,IRL,EU,27.532,733320,1930200,16620,brief-failover,733320,1930200,14400,1,36338
IRDU,IRDU0xIRL,IRL,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
IREN,IREN0xIRL,IRL,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
IRLD,IRLD0xIRL,IRL,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
IRWA,IRWA0xIRL,IRL,EU,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
ITAL,ITAL0xITA,ITA,EU,98.040,2611320,52200,16620,flapping,2611320,52200,142732,11,12191
ITAN,ITAN0xITA,ITA,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,57600,5,4916
ITAP,ITAP0xITA,ITA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,25849
ITBI,ITBI0xITA,ITA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,10763
ITCA,ITCA0xITA,ITA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
ITCI,ITCI0xITA,ITA,EU,99.928,2661600,1920,16620,flapping,2661600,1920,67248,8,2104
ITDO,ITDO0xITA,ITA,EU,99.818,2658660,4860,16620,outage-no-cellular,2658660,4860,0,0,
ITFO,ITFO0xITA,ITA,EU,99.977,2662920,600,16620,stuck-degraded,2662920,600,99800,9,6523
ITLE,ITLE0xITA,ITA,EU,99.955,2662320,1200,16620,brief-failover,2662320,1200,14400,1,6344
ITMA,ITMA0xITA,ITA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,1122
ITMI,ITMI0xITA,ITA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,43200,3,3666
ITMS,ITMS0xITA,ITA,EU,76.385,2034540,628980,16620,brief-failover,2034540,628980,57600,4,9647
ITPT,ITPT0xITA,ITA,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
ITRA,ITRA0xITA,ITA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,2,15628
ITRG,ITRG0xITA,ITA,EU,99.955,2662320,1200,16620,brief-failover,2662320,1200,33088,4,7505
ITRS,ITRS0xITA,ITA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,57600,4,5809
ITSA,ITSA0xITA,ITA,EU,99.932,2661720,1800,16620,brief-failover,2661720,1800,1072,2,38123
ITSC,ITSC0xITA,ITA,EU,99.932,2661720,1800,16620,brief-failover,2661720,1800,28800,2,9692
ITSL,ITSL0xITA,ITA,EU,0.000,0,2663520,16620,offline-entire-window,0,2663520,0,0,
ITSP,ITSP0xITA,ITA,EU,99.953,2662260,1260,16620,flapping,2662260,1260,68320,5,23082
ITTE,ITTE0xITA,ITA,EU,99.977,2662920,600,16620,stuck-degraded,2662920,600,315952,32,5764
ITTP,ITTP0xITA,ITA,EU,99.977,2662920,600,16620,stuck-degraded,2662920,600,119024,11,319
ITTR,ITTR0xITA,ITA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,38302
ITVE,ITVE0xITA,ITA,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,12280
NLBR,NLBR0xNLD,NLD,EU,99.977,2662920,600,16620,brief-failover,2662920,600,43200,3,6433
NLMM,NLMM0xNLD,NLD,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
NLUL,NLUL0xNLD,NLD,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,27322
NOAL,NOAL0xNOR,NOR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,14601
NOBE,NOBE0xNOR,NOR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
NOBR,NOBR0xNOR,NOR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
NOGE,NOGE0xNOR,NOR,EU,99.977,2662920,600,16620,brief-failover,2662920,600,14400,1,30268
NOHA,NOHA0xNOR,NOR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,19689
NOKR,NOKR0xNOR,NOR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
NOKU,NOKU0xNOR,NOR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,3309
NOLF,NOLF0xNOR,NOR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
NONO,NONO0xNOR,NOR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
NOPG,NOPG0xNOR,NOR,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,72000,5,29777
NORO,NORO0xNOR,NOR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,2152,1,6
NOSE,NOSE0xNOR,NOR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
NOSV,NOSV0xNOR,NOR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,30848
NOTR,NOTR0xNOR,NOR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
NOVA,NOVA0xNOR,NOR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,28800,2,25269
NOVI,NOVI0xNOR,NOR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
POBI,POBI0xPOL,POL,EU,99.977,2662920,600,16620,brief-failover,2662920,600,28800,2,28259
POCH,POCH0xPOL,POL,EU,100.000,2663520,0,16620,brief-failover,2663520,0,14400,1,21386
POCZ,POCZ0xPOL,POL,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
PODA,PODA0xPOL,POL,EU,99.975,2662860,660,16620,brief-failover,2662860,660,28800,2,38435
POGD,POGD0xPOL,POL,EU,99.977,2662920,600,16620,brief-failover,2662920,600,14400,1,40712
POKL,POKL0xPOL,POL,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
POOL,POOL0xPOL,POL,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
POPO,POPO0xPOL,POL,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
POPR,POPR0xPOL,POL,EU,99.955,2662320,1200,16620,brief-failover,2662320,1200,28800,2,21386
