site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ATFS,ATFS0xAUT,AUT,EU,99.977,2662920,600,16620,on-cellular-now,2662920,600,203400,113,6
ATGD,ATGD0xAUT,AUT,EU,99.977,2662920,600,16620,stuck-degraded,2662920,600,36000,20,2461
ATHB,ATHB0xAUT,AUT,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,106200,59,6389
ATHL,ATHL0xAUT,AUT,EU,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
ATJB,ATJB0xAUT,AUT,EU,99.977,2662920,600,16620,stuck-degraded,2662920,600,73800,41,7192
ATKA,ATKA0xAUT,AUT,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,54000,30,9067
BGBL,BGBL0xBGR,BGR,EU,99.399,2647500,16020,16620,stuck-degraded,2647500,16020,19800,11,4380
BGBO,BGBO0xBGR,BGR,EU,99.977,2662920,600,16620,stuck-degraded,2662920,600,10800,6,23796
BGLO,BGLO0xBGR,BGR,EU,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
BGPV,BGPV0xBGR,BGR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,1800,1,27009
BGVI,BGVI0xBGR,BGR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,1800,1,38391
BGVN,BGVN0xBGR,BGR,EU,100.000,2663520,0,16620,brief-failover,2663520,0,5400,3,5987
CZOL,CZOL0xCZE,CZE,EU,99.975,2662860,660,16620,stuck-degraded,2662860,660,286200,159,2015
CZPA,CZPA0xCZE,CZE,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,36000,20,27009
DNAB,DNAB0xDNK,DNK,EU,99.975,2662860,660,16620,stuck-degraded,2662860,660,574200,319,5184
DNBR,DNBR0xDNK,DNK,EU,99.975,2662860,660,16620,stuck-degraded,2662860,660,702000,390,4782
DNHS,DNHS0xDNK,DNK,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,396000,220,5273
DNSO,DNSO0xDNK,DNK,EU,100.000,2663520,0,16620,stuck-degraded,2663520,0,822600,457,5184
