site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ATFS,ATFS0xAUT,AUT,EU,100.000,2317140,0,16980,stuck-degraded,2317140,0,288000,21,38318
ATGD,ATGD0xAUT,AUT,EU,100.000,2317140,0,16980,stuck-degraded,2317140,0,100800,7,3542
ATHB,ATHB0xAUT,AUT,EU,99.839,2313420,3720,16980,stuck-degraded,2313420,3720,417600,31,42940
ATHL,ATHL0xAUT,AUT,EU,100.000,2317140,0,16980,stuck-degraded,2317140,0,144000,11,3585
ATJB,ATJB0xAUT,AUT,EU,100.000,2317140,0,16980,stuck-degraded,2317140,0,244800,19,21600
ATKA,ATKA0xAUT,AUT,EU,100.000,2317140,0,16980,stuck-degraded,2317140,0,129600,10,19915
BGBL,BGBL0xBGR,BGR,EU,99.622,2308380,8760,16980,stuck-degraded,2308380,8760,172800,12,32313
BGBO,BGBO0xBGR,BGR,EU,100.000,2317140,0,16980,stuck-degraded,2317140,0,89520,7,39139
BGLO,BGLO0xBGR,BGR,EU,100.000,2317140,0,16980,brief-failover,2317140,0,43200,3,38923
BGPV,BGPV0xBGR,BGR,EU,100.000,2317140,0,16980,brief-failover,2317140,0,15700,2,26870
BGVI,BGVI0xBGR,BGR,EU,100.000,2317140,0,16980,brief-failover,2317140,0,45780,4,129
BGVN,BGVN0xBGR,BGR,EU,100.000,2317140,0,16980,brief-failover,2317140,0,43200,3,7344
CZOL,CZOL0xCZE,CZE,EU,100.000,2317140,0,16980,stuck-degraded,2317140,0,532800,40,33048
CZPA,CZPA0xCZE,CZE,EU,100.000,2317140,0,16980,stuck-degraded,2317140,0,418640,34,40564
DNAB,DNAB0xDNK,DNK,EU,100.000,2317140,0,16980,stuck-degraded,2317140,0,777600,59,36590
DNBR,DNBR0xDNK,DNK,EU,100.000,2317140,0,16980,stuck-degraded,2317140,0,748800,56,37324
DNHS,DNHS0xDNK,DNK,EU,100.000,2317140,0,16980,stuck-degraded,2317140,0,129600,10,29419
DNSO,DNSO0xDNK,DNK,EU,100.000,2317140,0,16980,stuck-degraded,2317140,0,633600,50,42940
DTBA,DTBA0xDEU,DEU,EU,99.972,2316480,660,16980,outage-no-cellular,2316480,660,0,0,
DTBN,DTBN0xDEU,DEU,EU,99.627,2308500,8640,16980,outage-no-cellular,2308500,8640,0,0,
