site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
TABB,TABB0xCAN,CAN,NA,99.646,2654100,9420,16620,outage-no-cellular,2654100,9420,0,0,
TABC,TABC0xCAN,CAN,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
TABE,TABE0xCAN,CAN,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
TABF,TABF0xCAN,CAN,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
TABG,TABG0xCAN,CAN,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
TABH,TABH0xCAN,CAN,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
TABO,TABO0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TABP,TABP0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TABW,TABW0xCAN,CAN,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
TBC3,TBC30xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TBCA,TBCA0xCAN,CAN,NA,98.157,2614440,49080,16620,outage-no-cellular,2614440,49080,0,0,
TBCB,TBCB0xCAN,CAN,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
TBCC,TBCC0xCAN,CAN,NA,98.184,2615160,48360,16620,outage-no-cellular,2615160,48360,0,0,
TBCE,TBCE0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TBCG,TBCG0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TBCH,TBCH0xCAN,CAN,NA,98.182,2615100,48420,16620,outage-no-cellular,2615100,48420,0,0,
TBCJ,TBCJ0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TBCK,TBCK0xCAN,CAN,NA,98.182,2615100,48420,16620,outage-no-cellular,2615100,48420,0,0,
TBCL,TBCL0xCAN,CAN,NA,99.908,2661060,2460,16620,outage-no-cellular,2661060,2460,0,0,
TBCM,TBCM0xCAN,CAN,NA,98.209,2615820,47700,16620,outage-no-cellular,2615820,47700,0,0,
TBCP,TBCP0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TBCS,TBCS0xCAN,CAN,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
TBCT,TBCT0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TBCV,TBCV0xCAN,CAN,NA,99.953,2662260,1260,16620,outage-no-cellular,2662260,1260,0,0,
TBCW,TBCW0xCAN,CAN,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
TBCZ,TBCZ0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TMBK,TMBK0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TMBS,TMBS0xCAN,CAN,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
TMBW,TMBW0xCAN,CAN,NA,99.468,2649360,14160,16620,outage-no-cellular,2649360,14160,0,0,
TNBM,TNBM0xCAN,CAN,NA,80.635,2156040,517800,6300,outage-no-cellular,2156040,517800,0,0,
TNBS,TNBS0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TNLB,TNLB0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TNLC,TNLC0xCAN,CAN,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
TNLJ,TNLJ0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TNLV,TNLV0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TNSG,TNSG0xCAN,CAN,NA,99.624,2653500,10020,16620,outage-no-cellular,2653500,10020,0,0,
TNSP,TNSP0xCAN,CAN,NA,100.000,2663520,0,16620,stuck-degraded,2663520,0,18000,10,5273
TNSY,TNSY0xCAN,CAN,NA,99.272,2644140,19380,16620,outage-no-cellular,2644140,19380,0,0,
TONA,TONA0xCAN,CAN,NA,99.651,2654220,9300,16620,stuck-degraded,2654220,9300,19800,11,3755
TONE,TONE0xCAN,CAN,NA,99.678,2654940,8580,16620,outage-no-cellular,2654940,8580,0,0,
TONF,TONF0xCAN,CAN,NA,98.353,2619660,43860,16620,outage-no-cellular,2619660,43860,0,0,
TONG,TONG0xUSA,USA,NA,100.000,2663520,0,16620,stable,2663520,0,0,0,
TONH,TONH0xCAN,CAN,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
TONI,TONI0xCAN,CAN,NA,99.446,2648760,14760,16620,outage-no-cellular,2648760,14760,0,0,
TONL,TONL0xCAN,CAN,NA,99.016,2637300,26220,16620,outage-no-cellular,2637300,26220,0,0,
TONM,TONM0xCAN,CAN,NA,30.298,807000,1856520,16620,outage-no-cellular,807000,1856520,0,0,
TONN,TONN0xCAN,CAN,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
TONO,TONO0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TONP,TONP0xCAN,CAN,NA,99.552,2651580,11940,16620,,,,,,
TONR,TONR0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TONS,TONS0xCAN,CAN,NA,99.529,2650980,12540,16620,outage-no-cellular,2650980,12540,0,0,
TONW,TONW0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TOSM,TOSM0xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TPEE,TPEE0xCAN,CAN,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
TQC3,TQC30xCAN,CAN,NA,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
TQCA,TQCA0xCAN,CAN,NA,99.975,2662860,660,16620,outage-no-cellular,2662860,660,0,0,
TQCB,TQCB0xCAN,CAN,NA,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
