site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
FRDU,FRDU0xFRA,FRA,EU,100.000,85080,0,1320
FRGE,FRGE0xFRA,FRA,EU,100.000,85080,0,1320
FRHR,FRHR0xFRA,FRA,EU,100.000,85080,0,1320
FRHV,FRHV0xFRA,FRA,EU,100.000,85080,0,1320
FRLA,FRLA0xFRA,FRA,EU,100.000,85080,0,1320
FRLM,FRLM0xFRA,FRA,EU,100.000,85080,0,1320
FRLO,FRLO0xFRA,FRA,EU,100.000,85080,0,1320
FRMC,FRMC0xFRA,FRA,EU,100.000,85080,0,1320
FRMG,FRMG0xFRA,FRA,EU,0.000,0,85080,1320
FRMO,FRMO0xFRA,FRA,EU,100.000,85080,0,1320
FRNA,FRNA0xFRA,FRA,EU,100.000,85080,0,1320
FRNI,FRNI0xFRA,FRA,EU,100.000,85080,0,1320
FRPE,FRPE0xFRA,FRA,EU,100.000,85080,0,1320
FRPT,FRPT0xFRA,FRA,EU,100.000,85080,0,1320
FRRF,FRRF0xFRA,FRA,EU,100.000,85080,0,1320
FRRO,FRRO0xFRA,FRA,EU,100.000,85080,0,1320
FRSG,FRSG0xFRA,FRA,EU,100.000,85080,0,1320
FRVA,FRVA0xFRA,FRA,EU,99.224,84420,660,1320
GBCC,GBCC0xGBR,GBR,EU,100.000,85080,0,1320
GBCD,GBCD0xGBR,GBR,EU,100.000,85080,0,1320
GBCT,GBCT0xGBR,GBR,EU,100.000,85080,0,1320
GBDB,GBDB0xGBR,GBR,EU,100.000,85080,0,1320
GBGY,GBGY0xGBR,GBR,EU,100.000,85080,0,1320
GBKS,GBKS0xGBR,GBR,EU,100.000,85080,0,1320
GBLH,GBLH0xGBR,GBR,EU,100.000,85080,0,1320
GBLP,GBLP0xGBR,GBR,EU,100.000,85080,0,1320
GBNQ,GBNQ0xGBR,GBR,EU,100.000,85080,0,1320
GBOB,GBOB0xGBR,GBR,EU,100.000,85080,0,1320
GBPH,GBPH0xGBR,GBR,EU,100.000,85080,0,1320
GBSA,GBSA0xGBR,GBR,EU,100.000,85080,0,1320
GBSB,GBSB0xGBR,GBR,EU,100.000,85080,0,1320
GBTA,GBTA0xGBR,GBR,EU,100.000,85080,0,1320
GBUS,GBUS0xGBR,GBR,EU,100.000,85080,0,1320
GBWH,GBWH0xGBR,GBR,EU,100.000,85080,0,1320
GRCH,GRCH0xGRC,GRC,EU,100.000,85080,0,1320
GRFO,GRFO0xGRC,GRC,EU,100.000,85080,0,1320
GRHK,GRHK0xGRC,GRC,EU,100.000,85080,0,1320
GRIG,GRIG0xGRC,GRC,EU,100.000,85080,0,1320
GRKE,GRKE0xGRC,GRC,EU,100.000,85080,0,1320
GRKL,GRKL0xGRC,GRC,EU,100.000,85080,0,1320
GRKV,GRKV0xGRC,GRC,EU,100.000,85080,0,1320
GRLB,GRLB0xGRC,GRC,EU,100.000,85080,0,1320
GRNX,GRNX0xGRC,GRC,EU,100.000,85080,0,1320
GROS,GROS0xGRC,GRC,EU,100.000,85080,0,1320
GRPS,GRPS0xGRC,GRC,EU,100.000,85080,0,1320
GRRO,GRRO0xGRC,GRC,EU,100.000,85080,0,1320
GRSA,GRSA0xGRC,GRC,EU,100.000,85080,0,1320
GRTA,GRTA0xGRC,GRC,EU,100.000,85080,0,1320
