site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
ATFS,ATFS0xAUT,AUT,EU,100.000,85200,0,1260
ATGD,ATGD0xAUT,AUT,EU,100.000,85200,0,1260
ATHB,ATHB0xAUT,AUT,EU,100.000,85200,0,1260
ATHL,ATHL0xAUT,AUT,EU,100.000,85200,0,1260
ATJB,ATJB0xAUT,AUT,EU,100.000,85200,0,1260
ATKA,ATKA0xAUT,AUT,EU,100.000,85200,0,1260
BGBL,BGBL0xBGR,BGR,EU,100.000,85200,0,1260
BGBO,BGBO0xBGR,BGR,EU,100.000,85200,0,1260
BGLO,BGLO0xBGR,BGR,EU,100.000,85200,0,1260
BGPV,BGPV0xBGR,BGR,EU,100.000,85200,0,1260
BGVI,BGVI0xBGR,BGR,EU,100.000,85200,0,1260
BGVN,BGVN0xBGR,BGR,EU,100.000,85200,0,1260
CZOL,CZOL0xCZE,CZE,EU,100.000,85200,0,1260
CZPA,CZPA0xCZE,CZE,EU,100.000,85200,0,1260
DNAB,DNAB0xDNK,DNK,EU,100.000,85200,0,1260
DNBR,DNBR0xDNK,DNK,EU,100.000,85200,0,1260
DNHS,DNHS0xDNK,DNK,EU,100.000,85200,0,1260
DNSO,DNSO0xDNK,DNK,EU,100.000,85200,0,1260
DTBA,DTBA0xDEU,DEU,EU,100.000,85200,0,1260
DTBN,DTBN0xDEU,DEU,EU,100.000,85200,0,1260
DTBR,DTBR0xDEU,DEU,EU,100.000,85200,0,1260
DTD2,DTD20xDEU,DEU,EU,0.000,0,85200,1260
DTDD,DTDD0xDEU,DEU,EU,100.000,85200,0,1260
DTDT,DTDT0xDEU,DEU,EU,100.000,85200,0,1260
DTFB,DTFB0xDEU,DEU,EU,100.000,85200,0,1260
DTGB,DTGB0xDEU,DEU,EU,100.000,85200,0,1260
DTHL,DTHL0xDEU,DEU,EU,100.000,85200,0,1260
DTHR,DTHR0xDEU,DEU,EU,100.000,85200,0,1260
DTHT,DTHT0xDEU,DEU,EU,100.000,85200,0,1260
DTIF,DTIF0xDEU,DEU,EU,100.000,85200,0,1260
DTKM,DTKM0xDEU,DEU,EU,100.000,85200,0,1260
DTMB,DTMB0xDEU,DEU,EU,100.000,85200,0,1260
DTMH,DTMH0xDEU,DEU,EU,100.000,85200,0,1260
DTND,DTND0xDEU,DEU,EU,100.000,85200,0,1260
DTOB,DTOB0xDEU,DEU,EU,100.000,85200,0,1260
DTOS,DTOS0xDEU,DEU,EU,100.000,85200,0,1260
DTPW,DTPW0xDEU,DEU,EU,100.000,85200,0,1260
DTSW,DTSW0xDEU,DEU,EU,100.000,85200,0,1260
DTVD,DTVD0xDEU,DEU,EU,100.000,85200,0,1260
DTVR,DTVR0xDEU,DEU,EU,100.000,85200,0,1260
DTWL,DTWL0xDEU,DEU,EU,100.000,85200,0,1260
DTWR,DTWR0xDEU,DEU,EU,100.000,85200,0,1260
DTZU,DTZU0xDEU,DEU,EU,100.000,85200,0,1260
ESAC,ESAC0xESP,ESP,EU,100.000,85200,0,1260
ESBN,ESBN0xESP,ESP,EU,100.000,85200,0,1260
ESCB,ESCB0xESP,ESP,EU,100.000,85200,0,1260
ESCD,ESCD0xESP,ESP,EU,100.000,85200,0,1260
ESCM,ESCM0xESP,ESP,EU,100.000,85200,0,1260
ESCO,ESCO0xESP,ESP,EU,100.000,85200,0,1260
ESCU,ESCU0xESP,ESP,EU,100.000,85200,0,1260
ESEI,ESEI0xESP,ESP,EU,100.000,85200,0,1260
ESGC,ESGC0xESP,ESP,EU,100.000,85200,0,1260
ESGU,ESGU0xESP,ESP,EU,62.394,53160,32040,1260
ESHU,ESHU0xESP,ESP,EU,100.000,85200,0,1260
ESME,ESME0xESP,ESP,EU,100.000,85200,0,1260
ESMG,ESMG0xESP,ESP,EU,100.000,85200,0,1260
ESML,ESML0xESP,ESP,EU,100.000,85200,0,1260
ESMR,ESMR0xESP,ESP,EU,100.000,85200,0,1260
ESMU,ESMU0xESP,ESP,EU,100.000,85200,0,1260
ESMZ,ESMZ0xESP,ESP,EU,100.000,85200,0,1260
ESNM,ESNM0xESP,ESP,EU,100.000,85200,0,1260
ESOV,ESOV0xESP,ESP,EU,100.000,85200,0,1260
ESPI,ESPI0xESP,ESP,EU,100.000,85200,0,1260
ESSC,ESSC0xESP,ESP,EU,100.000,85200,0,1260
ESSE,ESSE0xESP,ESP,EU,100.000,85200,0,1260
ESTA,ESTA0xESP,ESP,EU,100.000,85200,0,1260
ESVA,ESVA0xESP,ESP,EU,98.451,83880,1320,1260
ESVI,ESVI0xESP,ESP,EU,100.000,85200,0,1260
ESZA,ESZA0xESP,ESP,EU,100.000,85200,0,1260
FIEK,FIEK0xFIN,FIN,EU,100.000,85200,0,1260
FIHA,FIHA0xFIN,FIN,EU,100.000,85200,0,1260
FIII,FIII0xFIN,FIN,EU,100.000,85200,0,1260
FIIV,FIIV0xFIN,FIN,EU,100.000,85200,0,1260
FIJM,FIJM0xFIN,FIN,EU,0.000,0,85200,1260
FIJO,FIJO0xFIN,FIN,EU,100.000,85200,0,1260
FIKL,FIKL0xFIN,FIN,EU,100.000,85200,0,1260
FIKM,FIKM0xFIN,FIN,EU,100.000,85200,0,1260
FILA,FILA0xFIN,FIN,EU,100.000,85200,0,1260
FILV,FILV0xFIN,FIN,EU,100.000,85200,0,1260
FIMU,FIMU0xFIN,FIN,EU,100.000,85200,0,1260
FINA,FINA0xFIN,FIN,EU,100.000,85200,0,1260
FISU,FISU0xFIN,FIN,EU,100.000,85200,0,1260
FITA,FITA0xFIN,FIN,EU,100.000,85200,0,1260
FIUU,FIUU0xFIN,FIN,EU,100.000,85200,0,1260
FRAC,FRAC0xFRA,FRA,EU,100.000,85200,0,1260
FRAR,FRAR0xFRA,FRA,EU,100.000,85200,0,1260
FRBD,FRBD0xFRA,FRA,EU,100.000,85200,0,1260
FRBE,FRBE0xFRA,FRA,EU,100.000,85200,0,1260
FRBY,FRBY0xFRA,FRA,EU,100.000,85200,0,1260
FRCB,FRCB0xFRA,FRA,EU,100.000,85200,0,1260
