site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
FRDU,FRDU0xFRA,FRA,EU,100.000,84600,0,1860
FRGE,FRGE0xFRA,FRA,EU,100.000,84600,0,1860
FRHR,FRHR0xFRA,FRA,EU,100.000,84600,0,1860
FRHV,FRHV0xFRA,FRA,EU,100.000,84600,0,1860
FRLA,FRLA0xFRA,FRA,EU,88.298,74700,9900,1860
FRLM,FRLM0xFRA,FRA,EU,100.000,84600,0,1860
FRLO,FRLO0xFRA,FRA,EU,100.000,84600,0,1860
FRMC,FRMC0xFRA,FRA,EU,100.000,84600,0,1860
FRMG,FRMG0xFRA,FRA,EU,0.000,0,84600,1860
FRMO,FRMO0xFRA,FRA,EU,100.000,84600,0,1860
FRNA,FRNA0xFRA,FRA,EU,100.000,84600,0,1860
FRNI,FRNI0xFRA,FRA,EU,100.000,84600,0,1860
FRPE,FRPE0xFRA,FRA,EU,100.000,84600,0,1860
FRPT,FRPT0xFRA,FRA,EU,100.000,84600,0,1860
FRRF,FRRF0xFRA,FRA,EU,100.000,84600,0,1860
FRRO,FRRO0xFRA,FRA,EU,100.000,84600,0,1860
FRSG,FRSG0xFRA,FRA,EU,100.000,84600,0,1860
FRVA,FRVA0xFRA,FRA,EU,100.000,84600,0,1860
GBCC,GBCC0xGBR,GBR,EU,100.000,84600,0,1860
GBCD,GBCD0xGBR,GBR,EU,100.000,84600,0,1860
GBCT,GBCT0xGBR,GBR,EU,100.000,84600,0,1860
GBDB,GBDB0xGBR,GBR,EU,100.000,84600,0,1860
GBGY,GBGY0xGBR,GBR,EU,100.000,84600,0,1860
GBKS,GBKS0xGBR,GBR,EU,100.000,84600,0,1860
GBLH,GBLH0xGBR,GBR,EU,100.000,84600,0,1860
GBLP,GBLP0xGBR,GBR,EU,100.000,84600,0,1860
GBNQ,GBNQ0xGBR,GBR,EU,100.000,84600,0,1860
GBOB,GBOB0xGBR,GBR,EU,100.000,84600,0,1860
GBPH,GBPH0xGBR,GBR,EU,100.000,84600,0,1860
GBSA,GBSA0xGBR,GBR,EU,100.000,84600,0,1860
GBSB,GBSB0xGBR,GBR,EU,100.000,84600,0,1860
GBTA,GBTA0xGBR,GBR,EU,100.000,84600,0,1860
GBUS,GBUS0xGBR,GBR,EU,100.000,84600,0,1860
GBWH,GBWH0xGBR,GBR,EU,100.000,84600,0,1860
GRCH,GRCH0xGRC,GRC,EU,100.000,84600,0,1860
GRFO,GRFO0xGRC,GRC,EU,100.000,84600,0,1860
GRHK,GRHK0xGRC,GRC,EU,100.000,84600,0,1860
GRIG,GRIG0xGRC,GRC,EU,100.000,84600,0,1860
GRKE,GRKE0xGRC,GRC,EU,100.000,84600,0,1860
GRKL,GRKL0xGRC,GRC,EU,100.000,84600,0,1860
GRKV,GRKV0xGRC,GRC,EU,100.000,84600,0,1860
GRLB,GRLB0xGRC,GRC,EU,100.000,84600,0,1860
GRNX,GRNX0xGRC,GRC,EU,100.000,84600,0,1860
GROS,GROS0xGRC,GRC,EU,100.000,84600,0,1860
GRPS,GRPS0xGRC,GRC,EU,100.000,84600,0,1860
GRRO,GRRO0xGRC,GRC,EU,100.000,84600,0,1860
GRSA,GRSA0xGRC,GRC,EU,100.000,84600,0,1860
GRTA,GRTA0xGRC,GRC,EU,100.000,84600,0,1860
GRVO,GRVO0xGRC,GRC,EU,100.000,84600,0,1860
HRLA,HRLA0xHRV,HRV,EU,100.000,84600,0,1860
HRPL,HRPL0xHRV,HRV,EU,100.000,84600,0,1860
HRSB,HRSB0xHRV,HRV,EU,100.000,84600,0,1860
HRVV,HRVV0xHRV,HRV,EU,100.000,84600,0,1860
HUBU,HUBU0xHUN,HUN,EU,100.000,84600,0,1860
HUNY,HUNY0xHUN,HUN,EU,100.000,84600,0,1860
HUSZ,HUSZ0xHUN,HUN,EU,100.000,84600,0,1860
HUVE,HUVE0xHUN,HUN,EU,100.000,84600,0,1860
IRBA,IRBA0xIRL,IRL,EU,100.000,84600,0,1860
IRCO,IRCO0xIRL,IRL,EU,100.000,84600,0,1860
IRDU,IRDU0xIRL,IRL,EU,100.000,84600,0,1860
IREN,IREN0xIRL,IRL,EU,100.000,84600,0,1860
IRLD,IRLD0xIRL,IRL,EU,100.000,84600,0,1860
IRWA,IRWA0xIRL,IRL,EU,100.000,84600,0,1860
ITAL,ITAL0xITA,ITA,EU,100.000,84600,0,1860
ITAN,ITAN0xITA,ITA,EU,100.000,84600,0,1860
ITAP,ITAP0xITA,ITA,EU,100.000,84600,0,1860
ITBI,ITBI0xITA,ITA,EU,100.000,84600,0,1860
ITCA,ITCA0xITA,ITA,EU,100.000,84600,0,1860
ITCI,ITCI0xITA,ITA,EU,100.000,84600,0,1860
ITDO,ITDO0xITA,ITA,EU,100.000,84600,0,1860
ITFO,ITFO0xITA,ITA,EU,100.000,84600,0,1860
ITLE,ITLE0xITA,ITA,EU,100.000,84600,0,1860
ITMA,ITMA0xITA,ITA,EU,100.000,84600,0,1860
ITMI,ITMI0xITA,ITA,EU,100.000,84600,0,1860
ITMS,ITMS0xITA,ITA,EU,100.000,84600,0,1860
ITPT,ITPT0xITA,ITA,EU,100.000,84600,0,1860
ITRA,ITRA0xITA,ITA,EU,100.000,84600,0,1860
ITRG,ITRG0xITA,ITA,EU,100.000,84600,0,1860
ITRS,ITRS0xITA,ITA,EU,100.000,84600,0,1860
ITSA,ITSA0xITA,ITA,EU,100.000,84600,0,1860
ITSC,ITSC0xITA,ITA,EU,100.000,84600,0,1860
ITSL,ITSL0xITA,ITA,EU,0.000,0,84600,1860
ITSP,ITSP0xITA,ITA,EU,100.000,84600,0,1860
ITTE,ITTE0xITA,ITA,EU,100.000,84600,0,1860
ITTP,ITTP0xITA,ITA,EU,100.000,84600,0,1860
ITTR,ITTR0xITA,ITA,EU,100.000,84600,0,1860
ITVE,ITVE0xITA,ITA,EU,100.000,84600,0,1860
NLBR,NLBR0xNLD,NLD,EU,100.000,84600,0,1860
NLMM,NLMM0xNLD,NLD,EU,100.000,84600,0,1860
NLUL,NLUL0xNLD,NLD,EU,100.000,84600,0,1860
NOAL,NOAL0xNOR,NOR,EU,100.000,84600,0,1860
NOBE,NOBE0xNOR,NOR,EU,100.000,84600,0,1860
NOBR,NOBR0xNOR,NOR,EU,100.000,84600,0,1860
NOGE,NOGE0xNOR,NOR,EU,100.000,84600,0,1860
NOHA,NOHA0xNOR,NOR,EU,100.000,84600,0,1860
NOKR,NOKR0xNOR,NOR,EU,100.000,84600,0,1860
NOKU,NOKU0xNOR,NOR,EU,100.000,84600,0,1860
NOLF,NOLF0xNOR,NOR,EU,100.000,84600,0,1860
NONO,NONO0xNOR,NOR,EU,100.000,84600,0,1860
NOPG,NOPG0xNOR,NOR,EU,100.000,84600,0,1860
NORO,NORO0xNOR,NOR,EU,100.000,84600,0,1860
NOSE,NOSE0xNOR,NOR,EU,100.000,84600,0,1860
NOSV,NOSV0xNOR,NOR,EU,100.000,84600,0,1860
NOTR,NOTR0xNOR,NOR,EU,100.000,84600,0,1860
NOVA,NOVA0xNOR,NOR,EU,100.000,84600,0,1860
NOVI,NOVI0xNOR,NOR,EU,100.000,84600,0,1860
PRAC,PRAC0xPRT,PRT,EU,100.000,84600,0,1860
