site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
FRDU,FRDU0xFRA,FRA,EU,100.000,75000,0,11400
FRGE,FRGE0xFRA,FRA,EU,100.000,75000,0,11400
FRHR,FRHR0xFRA,FRA,EU,100.000,75000,0,11400
FRHV,FRHV0xFRA,FRA,EU,100.000,75000,0,11400
FRLA,FRLA0xFRA,FRA,EU,100.000,75000,0,11400
FRLM,FRLM0xFRA,FRA,EU,100.000,75000,0,11400
FRLO,FRLO0xFRA,FRA,EU,100.000,75000,0,11400
FRMC,FRMC0xFRA,FRA,EU,100.000,75000,0,11400
FRMG,FRMG0xFRA,FRA,EU,0.000,0,75000,11400
FRMO,FRMO0xFRA,FRA,EU,100.000,75000,0,11400
FRNA,FRNA0xFRA,FRA,EU,100.000,75000,0,11400
FRNI,FRNI0xFRA,FRA,EU,100.000,75000,0,11400
FRPE,FRPE0xFRA,FRA,EU,100.000,75000,0,11400
FRPT,FRPT0xFRA,FRA,EU,100.000,75000,0,11400
FRRF,FRRF0xFRA,FRA,EU,100.000,75000,0,11400
FRRO,FRRO0xFRA,FRA,EU,100.000,75000,0,11400
FRSG,FRSG0xFRA,FRA,EU,100.000,75000,0,11400
FRVA,FRVA0xFRA,FRA,EU,99.200,74400,600,11400
GBCC,GBCC0xGBR,GBR,EU,100.000,75000,0,11400
GBCD,GBCD0xGBR,GBR,EU,100.000,75000,0,11400
GBCT,GBCT0xGBR,GBR,EU,100.000,75000,0,11400
GBDB,GBDB0xGBR,GBR,EU,100.000,75000,0,11400
GBGY,GBGY0xGBR,GBR,EU,100.000,75000,0,11400
GBKS,GBKS0xGBR,GBR,EU,100.000,75000,0,11400
GBLH,GBLH0xGBR,GBR,EU,100.000,75000,0,11400
GBLP,GBLP0xGBR,GBR,EU,100.000,75000,0,11400
GBNQ,GBNQ0xGBR,GBR,EU,100.000,75000,0,11400
GBOB,GBOB0xGBR,GBR,EU,100.000,75000,0,11400
GBPH,GBPH0xGBR,GBR,EU,100.000,75000,0,11400
GBSA,GBSA0xGBR,GBR,EU,100.000,75000,0,11400
GBSB,GBSB0xGBR,GBR,EU,100.000,75000,0,11400
GBTA,GBTA0xGBR,GBR,EU,100.000,75000,0,11400
GBUS,GBUS0xGBR,GBR,EU,100.000,75000,0,11400
GBWH,GBWH0xGBR,GBR,EU,100.000,75000,0,11400
GRCH,GRCH0xGRC,GRC,EU,100.000,75000,0,11400
GRFO,GRFO0xGRC,GRC,EU,100.000,75000,0,11400
GRHK,GRHK0xGRC,GRC,EU,100.000,75000,0,11400
GRIG,GRIG0xGRC,GRC,EU,100.000,75000,0,11400
GRKE,GRKE0xGRC,GRC,EU,100.000,75000,0,11400
GRKL,GRKL0xGRC,GRC,EU,100.000,75000,0,11400
GRKV,GRKV0xGRC,GRC,EU,100.000,75000,0,11400
GRLB,GRLB0xGRC,GRC,EU,100.000,75000,0,11400
GRNX,GRNX0xGRC,GRC,EU,100.000,75000,0,11400
GROS,GROS0xGRC,GRC,EU,100.000,75000,0,11400
GRPS,GRPS0xGRC,GRC,EU,100.000,75000,0,11400
GRRO,GRRO0xGRC,GRC,EU,100.000,75000,0,11400
GRSA,GRSA0xGRC,GRC,EU,100.000,75000,0,11400
GRTA,GRTA0xGRC,GRC,EU,100.000,75000,0,11400
GRVO,GRVO0xGRC,GRC,EU,100.000,75000,0,11400
HRLA,HRLA0xHRV,HRV,EU,100.000,75000,0,11400
HRPL,HRPL0xHRV,HRV,EU,48.800,36600,38400,11400
HRSB,HRSB0xHRV,HRV,EU,100.000,75000,0,11400
HRVV,HRVV0xHRV,HRV,EU,100.000,75000,0,11400
HUBU,HUBU0xHUN,HUN,EU,100.000,75000,0,11400
HUNY,HUNY0xHUN,HUN,EU,100.000,75000,0,11400
HUSZ,HUSZ0xHUN,HUN,EU,100.000,75000,0,11400
HUVE,HUVE0xHUN,HUN,EU,100.000,75000,0,11400
IRBA,IRBA0xIRL,IRL,EU,100.000,75000,0,11400
IRCO,IRCO0xIRL,IRL,EU,25.360,19020,55980,11400
IRDU,IRDU0xIRL,IRL,EU,100.000,75000,0,11400
IREN,IREN0xIRL,IRL,EU,100.000,75000,0,11400
IRLD,IRLD0xIRL,IRL,EU,100.000,75000,0,11400
IRWA,IRWA0xIRL,IRL,EU,100.000,75000,0,11400
ITAL,ITAL0xITA,ITA,EU,100.000,75000,0,11400
ITAN,ITAN0xITA,ITA,EU,100.000,75000,0,11400
ITAP,ITAP0xITA,ITA,EU,100.000,75000,0,11400
ITBI,ITBI0xITA,ITA,EU,100.000,75000,0,11400
ITCA,ITCA0xITA,ITA,EU,100.000,75000,0,11400
ITCI,ITCI0xITA,ITA,EU,100.000,75000,0,11400
ITDO,ITDO0xITA,ITA,EU,100.000,75000,0,11400
ITFO,ITFO0xITA,ITA,EU,100.000,75000,0,11400
ITLE,ITLE0xITA,ITA,EU,100.000,75000,0,11400
ITMA,ITMA0xITA,ITA,EU,100.000,75000,0,11400
ITMI,ITMI0xITA,ITA,EU,100.000,75000,0,11400
ITMS,ITMS0xITA,ITA,EU,100.000,75000,0,11400
ITPT,ITPT0xITA,ITA,EU,100.000,75000,0,11400
ITRA,ITRA0xITA,ITA,EU,100.000,75000,0,11400
ITRG,ITRG0xITA,ITA,EU,100.000,75000,0,11400
ITRS,ITRS0xITA,ITA,EU,100.000,75000,0,11400
ITSA,ITSA0xITA,ITA,EU,100.000,75000,0,11400
ITSC,ITSC0xITA,ITA,EU,100.000,75000,0,11400
ITSL,ITSL0xITA,ITA,EU,0.000,0,75000,11400
ITSP,ITSP0xITA,ITA,EU,100.000,75000,0,11400
ITTE,ITTE0xITA,ITA,EU,100.000,75000,0,11400
ITTP,ITTP0xITA,ITA,EU,100.000,75000,0,11400
ITTR,ITTR0xITA,ITA,EU,100.000,75000,0,11400
ITVE,ITVE0xITA,ITA,EU,100.000,75000,0,11400
NLBR,NLBR0xNLD,NLD,EU,100.000,75000,0,11400
NLMM,NLMM0xNLD,NLD,EU,100.000,75000,0,11400
NLUL,NLUL0xNLD,NLD,EU,100.000,75000,0,11400
NOAL,NOAL0xNOR,NOR,EU,100.000,75000,0,11400
NOBE,NOBE0xNOR,NOR,EU,100.000,75000,0,11400
NOBR,NOBR0xNOR,NOR,EU,100.000,75000,0,11400
NOGE,NOGE0xNOR,NOR,EU,100.000,75000,0,11400
NOHA,NOHA0xNOR,NOR,EU,100.000,75000,0,11400
NOKR,NOKR0xNOR,NOR,EU,100.000,75000,0,11400
NOKU,NOKU0xNOR,NOR,EU,100.000,75000,0,11400
NOLF,NOLF0xNOR,NOR,EU,100.000,75000,0,11400
NONO,NONO0xNOR,NOR,EU,100.000,75000,0,11400
NOPG,NOPG0xNOR,NOR,EU,100.000,75000,0,11400
NORO,NORO0xNOR,NOR,EU,100.000,75000,0,11400
NOSE,NOSE0xNOR,NOR,EU,100.000,75000,0,11400
NOSV,NOSV0xNOR,NOR,EU,100.000,75000,0,11400
NOTR,NOTR0xNOR,NOR,EU,100.000,75000,0,11400
NOVA,NOVA0xNOR,NOR,EU,100.000,75000,0,11400
NOVI,NOVI0xNOR,NOR,EU,100.000,75000,0,11400
PRAC,PRAC0xPRT,PRT,EU,100.000,75000,0,11400
