site,name,country,sar_avail_pct,sar_up_seconds,sar_down_seconds,dcups_avail_pct,dcups_up_seconds,dcups_down_seconds,orion_active_pct,orion_avg_bytes_per_s,orion_max_bytes_per_s
FIIV,FIIV0xFIN,FIN,100.000,2585460,0,,,,0.019,0,0
FIJM,FIJM0xFIN,FIN,52.682,1362060,1223400,,,,0.000,0,0
FIJO,FIJO0xFIN,FIN,100.000,2585460,0,,,,0.009,0,0
FIKL,FIKL0xFIN,FIN,100.000,2585460,0,,,,0.000,0,0
FIKM,FIKM0xFIN,FIN,100.000,2585460,0,,,,0.000,0,0
FILA,FILA0xFIN,FIN,100.000,2585460,0,,,,0.000,0,0
FILV,FILV0xFIN,FIN,100.000,2585460,0,,,,0.120,0,0
FIMU,FIMU0xFIN,FIN,100.000,2585460,0,,,,0.028,0,0
FINA,FINA0xFIN,FIN,100.000,2585460,0,,,,0.000,0,0
FISU,FISU0xFIN,FIN,100.000,2585460,0,,,,0.019,0,0
FITA,FITA0xFIN,FIN,100.000,2585460,0,,,,0.000,0,0
FIUU,FIUU0xFIN,FIN,100.000,2585460,0,,,,0.000,0,0
FRAC,FRAC0xFRA,FRA,100.000,2585460,0,,,,0.009,0,0
FRAR,FRAR0xFRA,FRA,100.000,2585460,0,,,,0.019,0,0
FRBD,FRBD0xFRA,FRA,100.000,2585460,0,,,,0.000,0,0
FRBE,FRBE0xFRA,FRA,100.000,2585460,0,,,,0.051,0,0
FRBY,FRBY0xFRA,FRA,100.000,2585460,0,,,,0.009,0,0
FRCB,FRCB0xFRA,FRA,100.000,2585460,0,,,,0.000,0,0
FRCH,FRCH0xFRA,FRA,100.000,2585460,0,,,,0.000,0,0
FRCO,FRCO0xFRA,FRA,100.000,2585460,0,,,,0.000,0,0
FRDI,FRDI0xFRA,FRA,100.000,2585460,0,,,,0.065,0,0
FRDL,FRDL0xFRA,FRA,100.000,2585460,0,,,,0.028,0,0
FRDU,FRDU0xFRA,FRA,99.884,2582460,3000,,,,0.019,0,0
FRGE,FRGE0xFRA,FRA,100.000,2585460,0,,,,0.000,0,0
FRHR,FRHR0xFRA,FRA,100.000,2585460,0,,,,0.000,0,0
FRHV,FRHV0xFRA,FRA,99.905,2583000,2460,,,,0.181,0,0
FRLA,FRLA0xFRA,FRA,100.000,2585460,0,,,,0.060,0,0
FRLM,FRLM0xFRA,FRA,100.000,2585460,0,,,,0.000,0,0
FRLO,FRLO0xFRA,FRA,100.000,2585460,0,,,,0.000,0,0
FRMC,FRMC0xFRA,FRA,100.000,2585460,0,,,,0.019,0,0
FRMG,FRMG0xFRA,FRA,100.000,2585460,0,,,,0.009,0,0
FRMO,FRMO0xFRA,FRA,100.000,2585460,0,,,,0.046,0,0
FRNA,FRNA0xFRA,FRA,100.000,2585460,0,,,,0.012,0,0
FRNI,FRNI0xFRA,FRA,100.000,2585460,0,,,,0.019,0,0
FRPE,FRPE0xFRA,FRA,100.000,2585460,0,,,,0.009,0,0
FRPT,FRPT0xFRA,FRA,100.000,2585460,0,,,,0.009,0,0
FRRF,FRRF0xFRA,FRA,100.000,2585460,0,,,,0.009,0,0
FRRO,FRRO0xFRA,FRA,100.000,2585460,0,,,,0.000,0,0
FRSG,FRSG0xFRA,FRA,100.000,2585460,0,,,,0.019,0,0
FRVA,FRVA0xFRA,FRA,99.835,2581200,4260,,,,0.160,0,0
GBCC,GBCC0xGBR,GBR,100.000,2585460,0,,,,0.009,0,0
GBCD,GBCD0xGBR,GBR,100.000,2585460,0,,,,0.009,0,0
GBCT,GBCT0xGBR,GBR,100.000,2585460,0,,,,0.009,0,0
GBDB,GBDB0xGBR,GBR,100.000,2585460,0,,,,0.000,0,0
GBGY,GBGY0xGBR,GBR,100.000,2585460,0,,,,0.035,0,0
GBKS,GBKS0xGBR,GBR,100.000,2585460,0,,,,0.019,0,0
GBLH,GBLH0xGBR,GBR,100.000,2585460,0,,,,0.000,0,0
GBLP,GBLP0xGBR,GBR,100.000,2585460,0,,,,0.000,0,0
GBNQ,GBNQ0xGBR,GBR,100.000,2585460,0,,,,0.000,0,0
GBOB,GBOB0xGBR,GBR,100.000,2585460,0,,,,0.000,0,0
GBPH,GBPH0xGBR,GBR,99.974,2584800,660,,,,0.067,0,0
GBSA,GBSA0xGBR,GBR,99.459,2571480,13980,,,,0.274,0,0
GBSB,GBSB0xGBR,GBR,100.000,2585460,0,,,,0.000,0,0
GBTA,GBTA0xGBR,GBR,100.000,2585460,0,,,,0.000,0,0
GBUS,GBUS0xGBR,GBR,100.000,2585460,0,,,,0.000,0,0
GBWH,GBWH0xGBR,GBR,100.000,2585460,0,,,,0.000,0,0
GRCH,GRCH0xGRC,GRC,100.000,2585460,0,100.000,2589480,0,0.000,0,0
GRFO,GRFO0xGRC,GRC,100.000,2585460,0,100.000,2588460,0,0.000,0,0
GRHK,GRHK0xGRC,GRC,100.000,2585460,0,99.726,2580000,7080,0.120,0,0
