account,site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ALL,CAWI,CAWI0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAWS,CAWS0xUSA,USA,NA,67.037,57960,28500,0,stable,57960,28500,0,0,
ALL,CAWY,CAWY0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CAYA,CAYA0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,COFO,COFO0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,COFT,COFT0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,COLA,COLA0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,COLM,COLM0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,COLV,COLV0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,COPU,COPU0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CORI,CORI0xUSA,USA,NA,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CZOL,CZOL0xCZE,CZE,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,CZPA,CZPA0xCZE,CZE,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DNAB,DNAB0xDNK,DNK,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DNBR,DNBR0xDNK,DNK,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DNHS,DNHS0xDNK,DNK,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DNSO,DNSO0xDNK,DNK,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTBA,DTBA0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTBN,DTBN0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTBR,DTBR0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTDD,DTDD0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTFB,DTFB0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTGB,DTGB0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTHL,DTHL0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTHR,DTHR0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTHT,DTHT0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTIF,DTIF0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTKM,DTKM0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTMB,DTMB0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTMH,DTMH0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTND,DTND0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTOB,DTOB0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTOS,DTOS0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTPW,DTPW0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTSW,DTSW0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTVD,DTVD0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTVR,DTVR0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTWL,DTWL0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTWR,DTWR0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,DTZU,DTZU0xDEU,DEU,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESAC,ESAC0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESBN,ESBN0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESCB,ESCB0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESCD,ESCD0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESCM,ESCM0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,14400,0,
ALL,ESCO,ESCO0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESCU,ESCU0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESEI,ESEI0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESGC,ESGC0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESGU,ESGU0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESHU,ESHU0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESME,ESME0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESMG,ESMG0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESML,ESML0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESMR,ESMR0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
ALL,ESMU,ESMU0xESP,ESP,EU,100.000,86460,0,0,stable,86460,0,0,0,
