site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
FRCH,FRCH0xFRA,FRA,EU,98.211,2615880,47640,16620
FRCO,FRCO0xFRA,FRA,EU,100.000,2663520,0,16620
FRDI,FRDI0xFRA,FRA,EU,100.000,2663520,0,16620
FRDL,FRDL0xFRA,FRA,EU,100.000,2663520,0,16620
FRDU,FRDU0xFRA,FRA,EU,99.975,2662860,660,16620
FRGE,FRGE0xFRA,FRA,EU,99.953,2662260,1260,16620
FRHR,FRHR0xFRA,FRA,EU,100.000,2663520,0,16620
FRHV,FRHV0xFRA,FRA,EU,99.975,2662860,660,16620
FRLA,FRLA0xFRA,FRA,EU,100.000,2663520,0,16620
FRLM,FRLM0xFRA,FRA,EU,99.977,2662920,600,16620
FRLO,FRLO0xFRA,FRA,EU,100.000,2663520,0,16620
FRMC,FRMC0xFRA,FRA,EU,99.977,2662920,600,16620
FRMG,FRMG0xFRA,FRA,EU,82.814,2205780,457740,16620
FRMO,FRMO0xFRA,FRA,EU,100.000,2663520,0,16620
FRNA,FRNA0xFRA,FRA,EU,100.000,2663520,0,16620
FRNI,FRNI0xFRA,FRA,EU,100.000,2663520,0,16620
FRPE,FRPE0xFRA,FRA,EU,100.000,2663520,0,16620
FRPT,FRPT0xFRA,FRA,EU,100.000,2663520,0,16620
FRRF,FRRF0xFRA,FRA,EU,100.000,2663520,0,16620
FRRO,FRRO0xFRA,FRA,EU,100.000,2663520,0,16620
FRSG,FRSG0xFRA,FRA,EU,100.000,2663520,0,16620
FRVA,FRVA0xFRA,FRA,EU,99.736,2656500,7020,16620
GBCC,GBCC0xGBR,GBR,EU,100.000,2663520,0,16620
GBCD,GBCD0xGBR,GBR,EU,100.000,2663520,0,16620
GBCT,GBCT0xGBR,GBR,EU,99.977,2662920,600,16620
GBDB,GBDB0xGBR,GBR,EU,100.000,2663520,0,16620
GBGY,GBGY0xGBR,GBR,EU,100.000,2663520,0,16620
GBKS,GBKS0xGBR,GBR,EU,100.000,2663520,0,16620
GBLH,GBLH0xGBR,GBR,EU,100.000,2663520,0,16620
GBLP,GBLP0xGBR,GBR,EU,100.000,2663520,0,16620
GBNQ,GBNQ0xGBR,GBR,EU,100.000,2663520,0,16620
GBOB,GBOB0xGBR,GBR,EU,100.000,2663520,0,16620
GBPH,GBPH0xGBR,GBR,EU,98.308,2618460,45060,16620
GBSA,GBSA0xGBR,GBR,EU,99.977,2662920,600,16620
GBSB,GBSB0xGBR,GBR,EU,99.885,2660460,3060,16620
GBTA,GBTA0xGBR,GBR,EU,100.000,2663520,0,16620
GBUS,GBUS0xGBR,GBR,EU,99.977,2662920,600,16620
GBWH,GBWH0xGBR,GBR,EU,100.000,2663520,0,16620
GRCH,GRCH0xGRC,GRC,EU,100.000,2663520,0,16620
GRFO,GRFO0xGRC,GRC,EU,99.977,2662920,600,16620
GRHK,GRHK0xGRC,GRC,EU,99.953,2662260,1260,16620
GRIG,GRIG0xGRC,GRC,EU,99.977,2662920,600,16620
GRKE,GRKE0xGRC,GRC,EU,100.000,2663520,0,16620
GRKL,GRKL0xGRC,GRC,EU,99.977,2662920,600,16620
GRKV,GRKV0xGRC,GRC,EU,100.000,2663520,0,16620
GRLB,GRLB0xGRC,GRC,EU,100.000,2663520,0,16620
GRNX,GRNX0xGRC,GRC,EU,99.977,2662920,600,16620
GROS,GROS0xGRC,GRC,EU,99.977,2662920,600,16620
GRPS,GRPS0xGRC,GRC,EU,99.766,2657280,6240,16620
GRRO,GRRO0xGRC,GRC,EU,99.977,2662920,600,16620
GRSA,GRSA0xGRC,GRC,EU,99.975,2662860,660,16620
GRTA,GRTA0xGRC,GRC,EU,100.000,2663520,0,16620
GRVO,GRVO0xGRC,GRC,EU,100.000,2663520,0,16620
HRLA,HRLA0xHRV,HRV,EU,100.000,2663520,0,16620
HRPL,HRPL0xHRV,HRV,EU,56.488,1504560,1158960,16620
HRSB,HRSB0xHRV,HRV,EU,100.000,2663520,0,16620
HRVV,HRVV0xHRV,HRV,EU,100.000,2663520,0,16620
HUBU,HUBU0xHUN,HUN,EU,99.977,2662920,600,16620
HUNY,HUNY0xHUN,HUN,EU,99.977,2662920,600,16620
HUSZ,HUSZ0xHUN,HUN,EU,100.000,2663520,0,16620
HUVE,HUVE0xHUN,HUN,EU,99.977,2662920,600,16620
IRBA,IRBA0xIRL,IRL,EU,100.000,2663520,0,16620
IRCO,IRCO0xIRL,IRL,EU,27.532,733320,1930200,16620
IRDU,IRDU0xIRL,IRL,EU,100.000,2663520,0,16620
IREN,IREN0xIRL,IRL,EU,100.000,2663520,0,16620
IRLD,IRLD0xIRL,IRL,EU,100.000,2663520,0,16620
IRWA,IRWA0xIRL,IRL,EU,99.975,2662860,660,16620
ITAL,ITAL0xITA,ITA,EU,98.040,2611320,52200,16620
ITAN,ITAN0xITA,ITA,EU,100.000,2663520,0,16620
ITAP,ITAP0xITA,ITA,EU,100.000,2663520,0,16620
ITBI,ITBI0xITA,ITA,EU,100.000,2663520,0,16620
ITCA,ITCA0xITA,ITA,EU,100.000,2663520,0,16620
ITCI,ITCI0xITA,ITA,EU,99.928,2661600,1920,16620
ITDO,ITDO0xITA,ITA,EU,99.818,2658660,4860,16620
ITFO,ITFO0xITA,ITA,EU,99.977,2662920,600,16620
ITLE,ITLE0xITA,ITA,EU,99.955,2662320,1200,16620
ITMA,ITMA0xITA,ITA,EU,100.000,2663520,0,16620
ITMI,ITMI0xITA,ITA,EU,100.000,2663520,0,16620
ITMS,ITMS0xITA,ITA,EU,76.385,2034540,628980,16620
ITPT,ITPT0xITA,ITA,EU,100.000,2663520,0,16620
ITRA,ITRA0xITA,ITA,EU,100.000,2663520,0,16620
ITRG,ITRG0xITA,ITA,EU,99.955,2662320,1200,16620
ITRS,ITRS0xITA,ITA,EU,100.000,2663520,0,16620
ITSA,ITSA0xITA,ITA,EU,99.932,2661720,1800,16620
ITSC,ITSC0xITA,ITA,EU,99.932,2661720,1800,16620
ITSL,ITSL0xITA,ITA,EU,0.000,0,2663520,16620
ITSP,ITSP0xITA,ITA,EU,99.953,2662260,1260,16620
ITTE,ITTE0xITA,ITA,EU,99.977,2662920,600,16620
ITTP,ITTP0xITA,ITA,EU,99.977,2662920,600,16620
ITTR,ITTR0xITA,ITA,EU,100.000,2663520,0,16620
ITVE,ITVE0xITA,ITA,EU,100.000,2663520,0,16620
NLBR,NLBR0xNLD,NLD,EU,99.977,2662920,600,16620
NLMM,NLMM0xNLD,NLD,EU,100.000,2663520,0,16620
NLUL,NLUL0xNLD,NLD,EU,100.000,2663520,0,16620
NOAL,NOAL0xNOR,NOR,EU,100.000,2663520,0,16620
NOBE,NOBE0xNOR,NOR,EU,100.000,2663520,0,16620
