site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds
FRCO,FRCO0xFRA,FRA,EU,100.000,2585460,0,8040
FRDI,FRDI0xFRA,FRA,EU,100.000,2585460,0,8040
FRDL,FRDL0xFRA,FRA,EU,100.000,2585460,0,8040
FRDU,FRDU0xFRA,FRA,EU,99.884,2582460,3000,8040
FRGE,FRGE0xFRA,FRA,EU,100.000,2585460,0,8040
FRHR,FRHR0xFRA,FRA,EU,100.000,2585460,0,8040
FRHV,FRHV0xFRA,FRA,EU,99.905,2583000,2460,8040
FRLA,FRLA0xFRA,FRA,EU,100.000,2585460,0,8040
FRLM,FRLM0xFRA,FRA,EU,100.000,2585460,0,8040
FRLO,FRLO0xFRA,FRA,EU,100.000,2585460,0,8040
FRMC,FRMC0xFRA,FRA,EU,100.000,2585460,0,8040
FRMG,FRMG0xFRA,FRA,EU,100.000,2585460,0,8040
FRMO,FRMO0xFRA,FRA,EU,100.000,2585460,0,8040
FRNA,FRNA0xFRA,FRA,EU,100.000,2585460,0,8040
FRNI,FRNI0xFRA,FRA,EU,100.000,2585460,0,8040
FRPE,FRPE0xFRA,FRA,EU,100.000,2585460,0,8040
FRPT,FRPT0xFRA,FRA,EU,100.000,2585460,0,8040
FRRF,FRRF0xFRA,FRA,EU,100.000,2585460,0,8040
FRRO,FRRO0xFRA,FRA,EU,100.000,2585460,0,8040
FRSG,FRSG0xFRA,FRA,EU,100.000,2585460,0,8040
FRVA,FRVA0xFRA,FRA,EU,99.835,2581200,4260,8040
GBCC,GBCC0xGBR,GBR,EU,100.000,2585460,0,8040
GBCD,GBCD0xGBR,GBR,EU,100.000,2585460,0,8040
GBCT,GBCT0xGBR,GBR,EU,100.000,2585460,0,8040
GBDB,GBDB0xGBR,GBR,EU,100.000,2585460,0,8040
GBGY,GBGY0xGBR,GBR,EU,100.000,2585460,0,8040
GBKS,GBKS0xGBR,GBR,EU,100.000,2585460,0,8040
GBLH,GBLH0xGBR,GBR,EU,100.000,2585460,0,8040
GBLP,GBLP0xGBR,GBR,EU,100.000,2585460,0,8040
GBNQ,GBNQ0xGBR,GBR,EU,100.000,2585460,0,8040
GBOB,GBOB0xGBR,GBR,EU,100.000,2585460,0,8040
GBPH,GBPH0xGBR,GBR,EU,99.974,2584800,660,8040
GBSA,GBSA0xGBR,GBR,EU,99.459,2571480,13980,8040
GBSB,GBSB0xGBR,GBR,EU,100.000,2585460,0,8040
GBTA,GBTA0xGBR,GBR,EU,100.000,2585460,0,8040
GBUS,GBUS0xGBR,GBR,EU,100.000,2585460,0,8040
GBWH,GBWH0xGBR,GBR,EU,100.000,2585460,0,8040
GRCH,GRCH0xGRC,GRC,EU,100.000,2585460,0,8040
GRFO,GRFO0xGRC,GRC,EU,100.000,2585460,0,8040
GRHK,GRHK0xGRC,GRC,EU,100.000,2585460,0,8040
GRIG,GRIG0xGRC,GRC,EU,100.000,2585460,0,8040
GRKE,GRKE0xGRC,GRC,EU,100.000,2585460,0,8040
GRKL,GRKL0xGRC,GRC,EU,100.000,2585460,0,8040
GRKV,GRKV0xGRC,GRC,EU,100.000,2585460,0,8040
GRLB,GRLB0xGRC,GRC,EU,100.000,2585460,0,8040
GRNX,GRNX0xGRC,GRC,EU,99.838,2581260,4200,8040
GROS,GROS0xGRC,GRC,EU,100.000,2585460,0,8040
GRPS,GRPS0xGRC,GRC,EU,100.000,2585460,0,8040
GRRO,GRRO0xGRC,GRC,EU,100.000,2585460,0,8040
GRSA,GRSA0xGRC,GRC,EU,100.000,2585460,0,8040
GRTA,GRTA0xGRC,GRC,EU,99.926,2583540,1920,8040
GRVO,GRVO0xGRC,GRC,EU,100.000,2585460,0,8040
HRLA,HRLA0xHRV,HRV,EU,100.000,2585460,0,8040
HRPL,HRPL0xHRV,HRV,EU,100.000,2585460,0,8040
HRSB,HRSB0xHRV,HRV,EU,100.000,2585460,0,8040
HRVV,HRVV0xHRV,HRV,EU,100.000,2585460,0,8040
HUBU,HUBU0xHUN,HUN,EU,100.000,2585460,0,8040
HUNY,HUNY0xHUN,HUN,EU,99.977,2584860,600,8040
HUSZ,HUSZ0xHUN,HUN,EU,100.000,2585460,0,8040
HUVE,HUVE0xHUN,HUN,EU,100.000,2585460,0,8040
IRBA,IRBA0xIRL,IRL,EU,100.000,2585460,0,8040
IRCO,IRCO0xIRL,IRL,EU,100.000,2585460,0,8040
IRDU,IRDU0xIRL,IRL,EU,100.000,2585460,0,8040
IREN,IREN0xIRL,IRL,EU,100.000,2585460,0,8040
IRLD,IRLD0xIRL,IRL,EU,99.903,2582940,2520,8040
IRWA,IRWA0xIRL,IRL,EU,100.000,2585460,0,8040
ITAL,ITAL0xITA,ITA,EU,98.863,2556060,29400,8040
ITAN,ITAN0xITA,ITA,EU,100.000,2585460,0,8040
ITAP,ITAP0xITA,ITA,EU,99.930,2583660,1800,8040
ITBI,ITBI0xITA,ITA,EU,99.977,2584860,600,8040
ITCA,ITCA0xITA,ITA,EU,100.000,2585460,0,8040
ITCI,ITCI0xITA,ITA,EU,100.000,2585460,0,8040
ITDO,ITDO0xITA,ITA,EU,99.974,2584800,660,8040
ITFO,ITFO0xITA,ITA,EU,99.977,2584860,600,8040
ITLE,ITLE0xITA,ITA,EU,100.000,2585460,0,8040
ITMA,ITMA0xITA,ITA,EU,100.000,2585460,0,8040
ITMI,ITMI0xITA,ITA,EU,99.954,2584260,1200,8040
ITMS,ITMS0xITA,ITA,EU,89.427,2312100,273360,8040
ITPT,ITPT0xITA,ITA,EU,100.000,2585460,0,8040
ITRA,ITRA0xITA,ITA,EU,100.000,2585460,0,8040
ITRG,ITRG0xITA,ITA,EU,100.000,2585460,0,8040
ITRS,ITRS0xITA,ITA,EU,99.977,2584860,600,8040
ITSA,ITSA0xITA,ITA,EU,100.000,2585460,0,8040
ITSC,ITSC0xITA,ITA,EU,99.624,2575740,9720,8040
ITSL,ITSL0xITA,ITA,EU,0.000,0,2585460,8040
ITSP,ITSP0xITA,ITA,EU,100.000,2585460,0,8040
ITTE,ITTE0xITA,ITA,EU,100.000,2585460,0,8040
ITTP,ITTP0xITA,ITA,EU,99.954,2584260,1200,8040
ITTR,ITTR0xITA,ITA,EU,100.000,2585460,0,8040
ITVE,ITVE0xITA,ITA,EU,100.000,2585460,0,8040
NLBR,NLBR0xNLD,NLD,EU,100.000,2585460,0,8040
NLMM,NLMM0xNLD,NLD,EU,100.000,2585460,0,8040
NLUL,NLUL0xNLD,NLD,EU,100.000,2585460,0,8040
NOAL,NOAL0xNOR,NOR,EU,100.000,2585460,0,8040
NOBE,NOBE0xNOR,NOR,EU,100.000,2585460,0,8040
NOBR,NOBR0xNOR,NOR,EU,100.000,2585460,0,8040
NOGE,NOGE0xNOR,NOR,EU,100.000,2585460,0,8040
NOHA,NOHA0xNOR,NOR,EU,100.000,2585460,0,8040
NOKR,NOKR0xNOR,NOR,EU,100.000,2585460,0,8040
NOKU,NOKU0xNOR,NOR,EU,100.000,2585460,0,8040
NOLF,NOLF0xNOR,NOR,EU,100.000,2585460,0,8040
NONO,NONO0xNOR,NOR,EU,100.000,2585460,0,8040
NOPG,NOPG0xNOR,NOR,EU,100.000,2585460,0,8040
NORO,NORO0xNOR,NOR,EU,100.000,2585460,0,8040
NOSE,NOSE0xNOR,NOR,EU,100.000,2585460,0,8040
NOSV,NOSV0xNOR,NOR,EU,100.000,2585460,0,8040
NOTR,NOTR0xNOR,NOR,EU,100.000,2585460,0,8040
NOVA,NOVA0xNOR,NOR,EU,100.000,2585460,0,8040
NOVI,NOVI0xNOR,NOR,EU,100.000,2585460,0,8040
PRAC,PRAC0xPRT,PRT,EU,100.000,2585460,0,8040
PRBR,PRBR0xPRT,PRT,EU,100.000,2585460,0,8040
PRGU,PRGU0xPRT,PRT,EU,100.000,2585460,0,8040
PRLA,PRLA0xPRT,PRT,EU,100.000,2585460,0,8040
PRLB,PRLB0xPRT,PRT,EU,100.000,2585460,0,8040
PRLE,PRLE0xPRT,PRT,EU,100.000,2585460,0,8040
PRMA,PRMA0xPRT,PRT,EU,100.000,2585460,0,8040
PRMD,PRMD0xPRT,PRT,EU,100.000,2585460,0,8040
ROBC,ROBC0xROU,ROU,EU,99.977,2584860,600,8040
ROBO,ROBO0xROU,ROU,EU,100.000,2585460,0,8040
ROBR,ROBR0xROU,ROU,EU,100.000,2585460,0,8040
RODE,RODE0xROU,ROU,EU,99.977,2584860,600,8040
ROMA,ROMA0xROU,ROU,EU,100.000,2585460,0,8040
RONA,RONA0xROU,ROU,EU,0.000,0,2585460,8040
ROSG,ROSG0xROU,ROU,EU,100.000,2585460,0,8040
ROSI,ROSI0xROU,ROU,EU,100.000,2585460,0,8040
ROTM,ROTM0xROU,ROU,EU,100.000,2585460,0,8040
ROTU,ROTU0xROU,ROU,EU,99.977,2584860,600,8040
SVBB,SVBB0xSVK,SVK,EU,100.000,2585460,0,8040
SVKE,SVKE0xSVK,SVK,EU,97.528,2521560,63900,8040
SWGA,SWGA0xSWE,SWE,EU,100.000,2585460,0,8040
SWGO,SWGO0xSWE,SWE,EU,100.000,2585460,0,8040
SWGV,SWGV0xSWE,SWE,EU,100.000,2585460,0,8040
SWHU,SWHU0xSWE,SWE,EU,100.000,2585460,0,8040
SWJO,SWJO0xSWE,SWE,EU,100.000,2585460,0,8040
SWKA,SWKA0xSWE,SWE,EU,100.000,2585460,0,8040
SWKR,SWKR0xSWE,SWE,EU,100.000,2585460,0,8040
SWLJ,SWLJ0xSWE,SWE,EU,100.000,2585460,0,8040
SWLU,SWLU0xSWE,SWE,EU,100.000,2585460,0,8040
SWMA,SWMA0xSWE,SWE,EU,100.000,2585460,0,8040
SWNO,SWNO0xSWE,SWE,EU,100.000,2585460,0,8040
SWNY,SWNY0xSWE,SWE,EU,100.000,2585460,0,8040
SWOB,SWOB0xSWE,SWE,EU,100.000,2585460,0,8040
SWOK,SWOK0xSWE,SWE,EU,100.000,2585460,0,8040
SWOS,SWOS0xSWE,SWE,EU,100.000,2585460,0,8040
SWSG,SWSG0xSWE,SWE,EU,100.000,2585460,0,8040
SWSK,SWSK0xSWE,SWE,EU,100.000,2585460,0,8040
SWST,SWST0xSWE,SWE,EU,100.000,2585460,0,8040
SWUD,SWUD0xSWE,SWE,EU,100.000,2585460,0,8040
SWVA,SWVA0xSWE,SWE,EU,100.000,2585460,0,8040
