site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
ESSC,ESSC0xESP,ESP,EU,100.000,599460,0,5700,stuck-degraded,599460,0,144000,10,4644
ESSE,ESSE0xESP,ESP,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ESTA,ESTA0xESP,ESP,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ESVA,ESVA0xESP,ESP,EU,95.556,572820,26640,5700,flapping,572820,26640,190020,43,8831
ESVI,ESVI0xESP,ESP,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,6707
ESZA,ESZA0xESP,ESP,EU,100.000,599460,0,5700,brief-failover,599460,0,57600,4,1865
FIEK,FIEK0xFIN,FIN,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
FIHA,FIHA0xFIN,FIN,EU,100.000,599460,0,5700,stuck-degraded,599460,0,129600,10,7744
FIII,FIII0xFIN,FIN,EU,99.800,598260,1200,5700,outage-no-cellular,598260,1200,0,0,
FIIV,FIIV0xFIN,FIN,EU,99.790,598200,1260,5700,outage-no-cellular,598200,1260,0,0,
FIJM,FIJM0xFIN,FIN,EU,0.000,0,599460,5700,offline-entire-window,0,599460,0,0,
FIJO,FIJO0xFIN,FIN,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
FIKL,FIKL0xFIN,FIN,EU,99.890,598800,660,5700,brief-failover,598800,660,43200,3,10049
FIKM,FIKM0xFIN,FIN,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FILA,FILA0xFIN,FIN,EU,99.900,598860,600,5700,stuck-degraded,598860,600,129600,10,1160
FILV,FILV0xFIN,FIN,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,2167
FIMU,FIMU0xFIN,FIN,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
FINA,FINA0xFIN,FIN,EU,100.000,599460,0,5700,stuck-degraded,599460,0,259200,20,1301
FISU,FISU0xFIN,FIN,EU,100.000,599460,0,5700,stuck-degraded,599460,0,129600,10,9465
FITA,FITA0xFIN,FIN,EU,99.900,598860,600,5700,outage-no-cellular,598860,600,0,0,
FIUU,FIUU0xFIN,FIN,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRAC,FRAC0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRAR,FRAR0xFRA,FRA,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,4603
FRBD,FRBD0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRBE,FRBE0xFRA,FRA,EU,56.291,337440,262020,5700,brief-failover,337440,262020,14400,1,5026
FRBY,FRBY0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRCB,FRCB0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRCH,FRCH0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRCO,FRCO0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRDI,FRDI0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRDL,FRDL0xFRA,FRA,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,4805
FRDU,FRDU0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRGE,FRGE0xFRA,FRA,EU,99.069,593880,5580,5700,stuck-degraded,593880,5580,166080,36,7754
FRHR,FRHR0xFRA,FRA,EU,100.000,599460,0,5700,brief-failover,599460,0,28800,2,718
FRHV,FRHV0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRLA,FRLA0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRLM,FRLM0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRLO,FRLO0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRMC,FRMC0xFRA,FRA,EU,99.900,598860,600,5700,outage-no-cellular,598860,600,0,0,
FRMG,FRMG0xFRA,FRA,EU,0.000,0,599460,5700,offline-entire-window,0,599460,0,0,
FRMO,FRMO0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRNA,FRNA0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRNI,FRNI0xFRA,FRA,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
FRPE,FRPE0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRPT,FRPT0xFRA,FRA,EU,100.000,599460,0,5700,brief-failover,599460,0,28800,2,9043
FRRF,FRRF0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRRO,FRRO0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRSG,FRSG0xFRA,FRA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
FRVA,FRVA0xFRA,FRA,EU,99.890,598800,660,5700,flapping,598800,660,63420,5,93
GBCC,GBCC0xGBR,GBR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GBCD,GBCD0xGBR,GBR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GBCT,GBCT0xGBR,GBR,EU,100.000,599460,0,5700,brief-failover,599460,0,1860,1,4895
GBDB,GBDB0xGBR,GBR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GBGY,GBGY0xGBR,GBR,EU,100.000,599460,0,5700,stuck-degraded,599460,0,129600,10,4905
GBKS,GBKS0xGBR,GBR,EU,98.539,590700,8760,5700,outage-no-cellular,590700,8760,0,0,
GBLH,GBLH0xGBR,GBR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GBLP,GBLP0xGBR,GBR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GBNQ,GBNQ0xGBR,GBR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GBOB,GBOB0xGBR,GBR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GBPH,GBPH0xGBR,GBR,EU,98.749,591960,7500,5700,outage-no-cellular,591960,7500,0,0,
GBSA,GBSA0xGBR,GBR,EU,99.490,596400,3060,5700,brief-failover,596400,3060,21900,3,1613
GBSB,GBSB0xGBR,GBR,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
GBTA,GBTA0xGBR,GBR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GBUS,GBUS0xGBR,GBR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GBWH,GBWH0xGBR,GBR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GRCH,GRCH0xGRC,GRC,EU,100.000,599460,0,5700,stuck-degraded,599460,0,86400,6,9767
GRFO,GRFO0xGRC,GRC,EU,100.000,599460,0,5700,brief-failover,599460,0,43200,3,9526
GRHK,GRHK0xGRC,GRC,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GRIG,GRIG0xGRC,GRC,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GRKE,GRKE0xGRC,GRC,EU,100.000,599460,0,5700,stuck-degraded,599460,0,86400,6,8056
GRKL,GRKL0xGRC,GRC,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,6415
GRKV,GRKV0xGRC,GRC,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,5006
GRLB,GRLB0xGRC,GRC,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GRNX,GRNX0xGRC,GRC,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,5368
GROS,GROS0xGRC,GRC,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,1865
GRPS,GRPS0xGRC,GRC,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GRRO,GRRO0xGRC,GRC,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GRSA,GRSA0xGRC,GRC,EU,100.000,599460,0,5700,stable,599460,0,0,0,
GRTA,GRTA0xGRC,GRC,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,5831
GRVO,GRVO0xGRC,GRC,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
HRLA,HRLA0xHRV,HRV,EU,100.000,599460,0,5700,stable,599460,0,0,0,
HRPL,HRPL0xHRV,HRV,EU,100.000,599460,0,5700,stable,599460,0,0,0,
HRSB,HRSB0xHRV,HRV,EU,100.000,599460,0,5700,stable,599460,0,0,0,
HRVV,HRVV0xHRV,HRV,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,3919
HUBU,HUBU0xHUN,HUN,EU,100.000,599460,0,5700,stable,599460,0,0,0,
HUNY,HUNY0xHUN,HUN,EU,99.790,598200,1260,5700,outage-no-cellular,598200,1260,0,0,
HUSZ,HUSZ0xHUN,HUN,EU,100.000,599460,0,5700,stable,599460,0,0,0,
HUVE,HUVE0xHUN,HUN,EU,0.000,0,599460,5700,offline-entire-window,0,599460,0,0,
IRBA,IRBA0xIRL,IRL,EU,100.000,599460,0,5700,stuck-degraded,599460,0,129600,10,3738
IRCO,IRCO0xIRL,IRL,EU,100.000,599460,0,5700,stuck-degraded,599460,0,86400,7,3738
IRDU,IRDU0xIRL,IRL,EU,100.000,599460,0,5700,stuck-degraded,599460,0,144000,11,909
IREN,IREN0xIRL,IRL,EU,100.000,599460,0,5700,stuck-degraded,599460,0,129600,10,3727
IRLD,IRLD0xIRL,IRL,EU,100.000,599460,0,5700,stuck-degraded,599460,0,129600,10,4654
IRWA,IRWA0xIRL,IRL,EU,100.000,599460,0,5700,stuck-degraded,599460,0,129600,10,3738
ITAL,ITAL0xITA,ITA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ITAN,ITAN0xITA,ITA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ITAP,ITAP0xITA,ITA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ITBI,ITBI0xITA,ITA,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
ITCA,ITCA0xITA,ITA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ITCI,ITCI0xITA,ITA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ITDO,ITDO0xITA,ITA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ITFO,ITFO0xITA,ITA,EU,99.890,598800,660,5700,outage-no-cellular,598800,660,0,0,
ITLE,ITLE0xITA,ITA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ITMA,ITMA0xITA,ITA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ITMI,ITMI0xITA,ITA,EU,99.690,597600,1860,5700,brief-failover,597600,1860,1260,1,3204
ITMS,ITMS0xITA,ITA,EU,99.900,598860,600,5700,brief-failover,598860,600,7560,2,5026
ITPT,ITPT0xITA,ITA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ITRA,ITRA0xITA,ITA,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
ITRG,ITRG0xITA,ITA,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
ITRS,ITRS0xITA,ITA,EU,99.900,598860,600,5700,brief-failover,598860,600,17520,3,8378
ITSA,ITSA0xITA,ITA,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,2026
ITSC,ITSC0xITA,ITA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ITSL,ITSL0xITA,ITA,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,4795
ITSP,ITSP0xITA,ITA,EU,100.000,599460,0,5700,brief-failover,599460,0,43200,3,4493
ITTE,ITTE0xITA,ITA,EU,99.790,598200,1260,5700,stuck-degraded,598200,1260,173940,20,8942
ITTP,ITTP0xITA,ITA,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,5368
ITTR,ITTR0xITA,ITA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
ITVE,ITVE0xITA,ITA,EU,100.000,599460,0,5700,stable,599460,0,0,0,
LVRI,LVRI0xLVA,LVA,EU,100.000,599460,0,5700,,,,,,
NLBR,NLBR0xNLD,NLD,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,5721
NLMM,NLMM0xNLD,NLD,EU,100.000,599460,0,5700,stable,599460,0,0,0,
NLUL,NLUL0xNLD,NLD,EU,100.000,599460,0,5700,stable,599460,0,0,0,
NOAL,NOAL0xNOR,NOR,EU,100.000,599460,0,5700,stuck-degraded,599460,0,144000,10,3335
NOBE,NOBE0xNOR,NOR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
NOBR,NOBR0xNOR,NOR,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,899
NOGE,NOGE0xNOR,NOR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
NOHA,NOHA0xNOR,NOR,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,6828
NOKR,NOKR0xNOR,NOR,EU,100.000,599460,0,5700,on-cellular-now,599460,0,780,1,13
NOKU,NOKU0xNOR,NOR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
NOLF,NOLF0xNOR,NOR,EU,100.000,599460,0,5700,stuck-degraded,599460,0,115200,9,3335
NONO,NONO0xNOR,NOR,EU,100.000,599460,0,5700,stuck-degraded,599460,0,129600,10,3345
NOPG,NOPG0xNOR,NOR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
NORO,NORO0xNOR,NOR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
NOSE,NOSE0xNOR,NOR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
NOSV,NOSV0xNOR,NOR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
NOTR,NOTR0xNOR,NOR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
NOVA,NOVA0xNOR,NOR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
NOVI,NOVI0xNOR,NOR,EU,100.000,599460,0,5700,stable,599460,0,0,0,
POBI,POBI0xPOL,POL,EU,100.000,599460,0,5700,stable,599460,0,0,0,
POCH,POCH0xPOL,POL,EU,100.000,599460,0,5700,stable,599460,0,0,0,
POCZ,POCZ0xPOL,POL,EU,100.000,599460,0,5700,stable,599460,0,0,0,
PODA,PODA0xPOL,POL,EU,100.000,599460,0,5700,stable,599460,0,0,0,
POGD,POGD0xPOL,POL,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,2117
POKL,POKL0xPOL,POL,EU,100.000,599460,0,5700,stable,599460,0,0,0,
POOL,POOL0xPOL,POL,EU,100.000,599460,0,5700,stable,599460,0,0,0,
POPO,POPO0xPOL,POL,EU,100.000,599460,0,5700,brief-failover,599460,0,57600,4,2409
POPR,POPR0xPOL,POL,EU,100.000,599460,0,5700,stable,599460,0,0,0,
POSU,POSU0xPOL,POL,EU,100.000,599460,0,5700,stable,599460,0,0,0,
POTU,POTU0xPOL,POL,EU,100.000,599460,0,5700,stable,599460,0,0,0,
POWA,POWA0xPOL,POL,EU,100.000,599460,0,5700,stable,599460,0,0,0,
POWW,POWW0xPOL,POL,EU,100.000,599460,0,5700,stable,599460,0,0,0,
PRAC,PRAC0xPRT,PRT,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
PRBR,PRBR0xPRT,PRT,EU,99.900,598860,600,5700,brief-failover,598860,600,28800,2,4623
PRGU,PRGU0xPRT,PRT,EU,95.866,574680,24780,5700,flapping,574680,24780,72000,5,254
PRLA,PRLA0xPRT,PRT,EU,99.900,598860,600,5700,outage-no-cellular,598860,600,0,0,
PRLB,PRLB0xPRT,PRT,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
PRLE,PRLE0xPRT,PRT,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
PRMA,PRMA0xPRT,PRT,EU,100.000,599460,0,5700,stable,599460,0,0,0,
PRMD,PRMD0xPRT,PRT,EU,99.900,598860,600,5700,outage-no-cellular,598860,600,0,0,
ROBC,ROBC0xROU,ROU,EU,99.790,598200,1260,5700,brief-failover,598200,1260,43200,3,5962
ROBO,ROBO0xROU,ROU,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,7482
ROBR,ROBR0xROU,ROU,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,7482
RODE,RODE0xROU,ROU,EU,100.000,599460,0,5700,brief-failover,599460,0,1260,1,7482
ROMA,ROMA0xROU,ROU,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,7482
RONA,RONA0xROU,ROU,EU,0.000,0,599460,5700,offline-entire-window,0,599460,0,0,
ROSG,ROSG0xROU,ROU,EU,100.000,599460,0,5700,brief-failover,599460,0,43200,3,1070
ROSI,ROSI0xROU,ROU,EU,100.000,599460,0,5700,brief-failover,599460,0,15660,3,244
ROTM,ROTM0xROU,ROU,EU,100.000,599460,0,5700,brief-failover,599460,0,43200,3,6355
ROTU,ROTU0xROU,ROU,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,7482
SVBB,SVBB0xSVK,SVK,EU,100.000,599460,0,5700,outage-no-cellular,599460,0,0,0,
SVKE,SVKE0xSVK,SVK,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,7945
SWGA,SWGA0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWGO,SWGO0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWGV,SWGV0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWHU,SWHU0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWJO,SWJO0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWKA,SWKA0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWKR,SWKR0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWLJ,SWLJ0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWLU,SWLU0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWMA,SWMA0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWNO,SWNO0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWNY,SWNY0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWOB,SWOB0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWOK,SWOK0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWOS,SWOS0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWSG,SWSG0xSWE,SWE,EU,100.000,599460,0,5700,brief-failover,599460,0,14400,1,8026
SWSK,SWSK0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWST,SWST0xSWE,SWE,EU,100.000,599460,0,5700,stable,599460,0,0,0,
SWUD,SWUD0xSWE,SWE,EU,100.000,599460,0,5700,,,,,,
SWVA,SWVA0xSWE,SWE,EU,100.000,599460,0,5700,stuck-degraded,599460,0,129600,10,4654
