site,name,country,region,sar_avail_pct,sar_up_seconds,sar_down_seconds,sar_missing_seconds,path_status,path_uptime_seconds,path_downtime_seconds,cellular_uptime_s_estimated,mdm_events,last_mdm_minutes_ago
JPAB,JPAB0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPAG,JPAG0xJPN,JPN,AP,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
JPAK,JPAK0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPBK,JPBK0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPCH,JPCH0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPES,JPES0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPFH,JPFH0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPFJ,JPFJ0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPGA,JPGA0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPGY,JPGY0xJPN,JPN,AP,99.453,2662860,14640,2640,outage-no-cellular,2662860,14640,0,0,
JPHG,JPHG0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPHJ,JPHJ0xJPN,JPN,AP,99.646,2654100,9420,16620,outage-no-cellular,2654100,9420,0,0,
JPHZ,JPHZ0xJPN,JPN,AP,99.885,2660460,3060,16620,outage-no-cellular,2660460,3060,0,0,
JPIK,JPIK0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPJT,JPJT0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPKC,JPKC0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPKI,JPKI0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPKM,JPKM0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPKO,JPKO0xJPN,JPN,AP,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
JPKR,JPKR0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPKT,JPKT0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPKZ,JPKZ0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPMA,JPMA0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPMB,JPMB0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPMG,JPMG0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPMI,JPMI0xJPN,JPN,AP,99.977,2662920,600,16620,outage-no-cellular,2662920,600,0,0,
JPMM,JPMM0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
JPMS,JPMS0xJPN,JPN,AP,100.000,2663520,0,16620,outage-no-cellular,2663520,0,0,0,
